run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	383.62	8597.67	83.40	267.41	2.94	995.60	NA	56.92
2	388.58	8720.75	82.24	262.64	2.66	1453.27	NA	58.44
3	389.58	8711.44	82.12	253.35	2.86	858.07	NA	56.60
4	367.83	8263.27	86.92	257.95	2.73	3029.79	NA	55.73
5	402.01	9019.54	79.57	253.35	2.86	1020.17	NA	60.24
6	380.42	8516.01	84.02	262.64	2.66	2644.22	NA	55.81
7	386.04	8675.52	82.87	267.41	2.77	801.48	NA	58.72
8	360.26	8076.76	88.80	272.27	2.54	3103.14	NA	53.61
9	391.73	8747.25	81.67	257.95	2.80	1013.39	NA	56.15
10	370.18	8314.40	86.42	257.95	3.00	2426.14	NA	56.10
