run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	365.73	8187.60	87.45	257.95	2.93	701.64	NA	53.73
2	391.85	8778.53	81.65	235.74	2.42	2042.73	NA	57.92
3	392.77	8814.54	81.43	253.35	2.85	826.79	NA	59.02
4	388.65	8738.83	82.31	244.38	2.74	1552.53	NA	59.42
5	372.01	8339.59	85.93	253.35	2.88	739.96	NA	55.29
6	386.98	8666.14	82.67	244.38	3.04	2677.17	NA	57.03
7	387.05	8679.41	82.59	262.64	2.97	941.44	NA	57.75
8	384.41	8605.12	83.22	244.38	2.79	1690.40	NA	56.37
9	385.37	8610.71	83.02	253.35	2.93	933.80	NA	55.54
10	378.70	8499.89	84.47	248.83	2.90	1456.26	NA	56.97
