run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	384.60	8637.43	83.18	262.64	2.93	1324.52	NA	58.15
2	381.12	8516.50	83.94	267.41	2.87	912.00	NA	55.05
3	398.45	8914.63	80.29	262.64	2.94	1305.95	NA	58.19
4	437.44	9810.57	73.14	240.02	2.81	910.77	NA	65.34
5	438.90	9850.03	72.88	219.36	3.04	2088.37	NA	65.97
6	436.31	9811.78	73.33	235.74	2.82	823.11	NA	66.81
7	437.29	9794.54	73.16	235.74	2.91	1119.53	NA	64.52
8	437.81	9812.07	73.07	235.74	2.98	907.51	NA	64.95
9	437.81	9810.78	73.01	235.74	2.82	1746.07	NA	64.84
10	440.94	9931.56	72.56	227.40	2.76	910.32	NA	68.46
