run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	420.33	9416.17	76.11	244.38	2.92	892.53	NA	62.13
2	431.41	9706.44	74.15	235.74	2.93	1497.61	NA	66.30
3	438.43	9825.59	72.97	227.40	2.77	672.52	NA	64.99
4	429.40	9643.39	74.50	231.53	2.92	1618.92	NA	64.98
5	443.64	9954.12	72.10	227.40	2.66	812.39	NA	66.51
6	429.35	9613.63	74.47	223.34	2.99	1774.43	NA	63.21
7	450.67	10100.29	70.98	227.40	2.87	809.37	NA	66.85
8	457.63	10230.94	69.91	215.44	2.69	876.31	NA	66.31
9	421.45	9463.08	75.91	244.38	2.59	2489.98	NA	63.63
10	442.61	9919.21	72.28	231.53	2.82	1092.36	NA	65.64
