run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	10.47	232.79	2978.19	6247.39	100.14	11087.89	NA	1.44
2	10.33	234.05	3027.80	6476.48	108.66	11321.01	NA	1.68
3	10.03	228.59	3110.26	6594.16	84.49	12967.10	NA	1.72
4	10.48	231.05	2971.66	6247.39	116.98	10519.78	NA	1.32
5	10.19	226.51	3065.22	6713.97	100.27	10393.89	NA	1.39
6	10.62	242.69	2935.59	6247.39	100.28	10921.11	NA	1.85
7	10.67	239.16	2920.03	6360.91	83.57	12878.72	NA	1.58
8	10.77	242.63	2889.63	6247.39	100.70	10498.97	NA	1.67
9	10.75	245.08	2900.92	6247.39	91.91	10433.00	NA	1.85
10	10.53	236.39	2962.15	6476.48	91.96	12885.61	NA	1.58
