run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	347.15	7800.83	92.16	267.41	2.98	2958.10	NA	52.78
2	378.25	8441.47	84.58	262.64	2.94	1055.48	NA	53.95
3	377.47	8417.40	84.76	267.41	2.90	1892.78	NA	53.40
4	377.28	8440.71	84.80	272.27	3.04	1018.22	NA	55.10
5	368.28	8243.11	86.87	262.64	2.99	2839.30	NA	53.99
6	387.09	8639.10	82.65	244.38	2.77	976.23	NA	55.24
7	375.48	8430.84	85.18	257.95	2.67	847.66	NA	56.68
8	371.29	8361.19	86.17	267.41	2.46	2600.98	NA	57.51
9	384.77	8652.79	83.15	253.35	2.96	814.04	NA	58.86
10	365.71	8167.30	87.48	257.95	2.89	3103.61	NA	52.50
