run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	381.32	8548.97	83.76	267.41	2.73	795.68	NA	56.72
2	382.16	8591.80	83.71	262.64	2.77	1200.41	NA	58.35
3	380.78	8526.86	84.01	262.64	3.02	883.26	NA	56.06
4	391.87	8800.68	81.53	248.83	2.79	2126.39	NA	59.23
5	403.93	9049.36	79.20	253.35	2.79	732.66	NA	59.72
6	382.18	8565.60	83.58	257.95	3.11	2233.40	NA	56.70
7	376.24	8420.11	85.03	267.41	2.67	734.83	NA	55.09
8	364.12	8151.81	87.86	272.27	2.86	1856.20	NA	53.48
9	381.66	8572.91	83.80	272.27	2.93	959.32	NA	57.82
10	374.32	8399.87	85.41	267.41	2.95	1742.18	NA	56.24
