run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	392.65	8806.76	81.48	267.41	2.50	785.62	NA	58.67
2	381.42	8545.65	83.88	248.83	2.62	3009.48	NA	56.44
3	383.20	8582.42	83.49	257.95	2.84	831.56	NA	56.51
4	365.64	8186.30	87.49	277.21	2.95	2587.33	NA	53.75
5	386.99	8673.23	82.67	272.27	2.79	800.02	NA	57.44
6	372.70	8341.44	85.82	267.41	2.83	1889.58	NA	54.58
7	398.32	8913.20	80.32	262.64	2.81	911.20	NA	58.20
8	369.23	8255.30	86.57	282.25	2.83	1424.24	NA	53.58
9	405.77	9057.16	78.84	262.64	2.89	772.66	NA	57.97
10	375.11	8402.21	85.29	253.35	2.75	1743.80	NA	55.39
