run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	396.56	8886.06	80.67	248.83	2.75	658.22	NA	58.71
2	367.45	8246.04	87.07	267.41	2.56	1288.12	NA	55.18
3	385.96	8631.25	82.89	257.95	2.92	1012.64	NA	56.15
4	379.58	8531.34	84.21	257.95	2.91	2100.62	NA	57.81
5	392.58	8789.06	81.49	253.35	2.81	771.79	NA	57.74
6	373.28	8372.87	85.71	257.95	2.77	2990.60	NA	55.78
7	390.05	8718.56	82.02	257.95	2.79	790.66	NA	56.46
8	356.46	7984.98	89.75	267.41	2.84	1362.14	NA	52.67
9	393.90	8801.62	81.15	253.35	3.02	870.22	NA	56.84
10	382.73	8560.02	83.59	267.41	2.70	1287.04	NA	55.74
