run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	366.99	8223.35	87.12	267.41	2.78	1927.60	NA	54.38
2	381.35	8559.11	83.86	267.41	2.94	988.32	NA	57.31
3	354.33	7969.49	90.17	262.64	2.87	3043.25	NA	54.33
4	402.00	9004.78	79.59	253.35	2.97	842.77	NA	59.34
5	375.53	8429.23	85.19	272.27	2.66	983.34	NA	56.51
6	384.03	8589.14	83.31	257.95	2.73	2397.56	NA	55.90
7	367.88	8226.48	86.96	282.25	2.88	762.83	NA	53.47
8	367.33	8222.12	87.10	248.83	2.92	3818.24	NA	53.88
9	391.79	8782.69	81.50	253.35	3.02	988.80	NA	58.26
10	380.14	8522.90	84.14	262.64	2.82	1927.53	NA	56.63
