run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	378.97	8526.16	84.42	257.95	2.85	3301.38	NA	58.24
2	382.63	8567.35	83.61	262.64	2.89	1160.64	NA	56.25
3	376.89	8454.43	84.89	253.35	2.86	2977.83	NA	56.33
4	377.44	8420.88	84.76	267.41	2.76	1043.65	NA	53.63
5	394.89	8866.49	81.02	248.83	2.88	2495.32	NA	59.63
6	380.69	8535.14	84.04	267.41	2.77	843.25	NA	56.71
7	387.75	8697.46	82.51	248.83	2.90	2284.68	NA	57.94
8	381.17	8553.22	83.93	277.21	2.79	782.79	NA	57.22
9	381.16	8558.71	83.94	257.95	3.02	2452.76	NA	57.53
10	378.54	8491.90	84.52	272.27	2.45	935.37	NA	56.66
