run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	604.95	13604.07	52.87	110.66	3.48	382.28	NA	92.60
2	606.79	13622.89	52.70	110.66	3.42	297.19	NA	91.51
3	545.49	12223.27	58.63	118.92	3.52	358.21	NA	80.81
4	609.84	13703.25	52.45	110.66	3.51	319.47	NA	92.74
5	615.52	13816.11	51.96	110.66	3.30	309.06	NA	92.57
6	615.41	13846.82	51.97	108.68	3.61	291.85	NA	94.67
7	612.97	13742.85	52.18	108.68	3.58	267.75	NA	91.25
8	614.03	13735.36	52.08	110.66	3.54	319.47	NA	89.50
9	621.64	13938.23	51.45	108.68	3.31	285.62	NA	92.58
10	611.82	13797.14	52.28	110.66	3.52	300.80	NA	95.97
