run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	634.00	14256.27	50.45	106.75	3.50	300.59	NA	97.01
2	631.39	14174.11	50.66	106.75	3.37	301.22	NA	95.06
3	631.31	14183.26	50.66	106.75	3.42	243.44	NA	95.76
4	628.07	14052.12	50.92	106.75	3.58	286.45	NA	91.73
5	632.18	14180.50	50.59	106.75	3.49	286.50	NA	94.58
6	627.59	14123.68	50.96	108.68	3.39	285.18	NA	96.72
7	595.48	13421.43	53.71	110.66	3.35	332.54	NA	93.00
8	637.90	14271.45	50.14	104.84	3.28	245.98	NA	93.07
9	636.45	14302.76	50.25	104.84	3.39	350.37	NA	96.72
10	633.37	14231.44	50.50	106.75	3.46	273.72	NA	96.22
