run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	190.91	4265.52	167.49	350.33	10.79	957.95	NA	27.52
2	190.24	4251.91	168.08	350.33	10.91	977.35	NA	27.52
3	189.76	4263.92	168.50	356.70	9.31	937.95	NA	28.79
4	189.62	4256.65	168.63	350.33	8.64	809.14	NA	28.59
5	187.83	4243.76	170.21	356.70	10.63	925.91	NA	29.94
6	189.09	4255.96	169.10	350.33	9.91	866.11	NA	29.20
7	193.47	4342.99	165.24	344.08	11.05	779.73	NA	29.15
8	191.17	4272.39	167.27	344.08	9.83	906.19	NA	27.64
9	188.96	4240.54	169.21	356.70	11.40	915.51	NA	28.42
10	189.41	4246.67	168.82	356.70	9.01	965.54	NA	28.19
