run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	231.50	5183.69	138.14	292.60	7.21	609.23	NA	34.09
2	229.88	5139.72	139.10	292.60	9.88	763.13	NA	33.34
3	229.57	5150.52	139.29	292.60	10.45	774.09	NA	34.42
4	229.02	5134.68	139.62	292.60	9.37	759.11	NA	34.11
5	228.14	5136.34	140.18	292.60	9.25	810.24	NA	35.29
6	229.96	5133.49	139.04	292.60	9.77	650.49	NA	32.88
7	226.93	5117.09	140.91	297.92	10.00	972.09	NA	35.55
8	228.56	5123.97	139.90	292.60	7.65	712.11	NA	33.98
9	228.03	5113.14	140.24	292.60	8.83	729.64	NA	33.99
10	230.07	5168.35	138.99	292.60	10.06	697.36	NA	34.87
