run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	227.71	5116.80	140.43	292.60	8.92	795.66	NA	34.60
2	228.84	5121.97	139.74	292.60	9.48	637.17	NA	33.53
3	228.90	5123.05	139.70	292.60	9.70	710.06	NA	33.54
4	228.40	5116.52	140.00	292.60	9.63	695.65	NA	33.72
5	227.32	5107.53	140.67	297.92	10.24	788.74	NA	34.50
6	228.48	5128.21	139.96	297.92	10.49	689.41	NA	34.39
7	229.71	5138.20	139.21	292.60	9.50	768.14	NA	33.47
8	229.24	5140.12	139.49	287.38	9.69	718.18	NA	34.17
9	228.40	5132.90	140.01	292.60	8.67	847.44	NA	34.74
10	229.98	5136.41	139.04	287.38	8.96	906.64	NA	33.00
