run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	643.75	14474.03	49.68	104.84	3.52	336.98	NA	98.40
2	643.25	14463.60	49.71	104.84	3.28	315.80	NA	98.40
3	640.26	14396.62	49.95	104.84	3.33	318.35	NA	97.93
4	642.44	14425.56	49.78	104.84	3.38	308.62	NA	97.02
5	639.23	14352.13	50.02	104.84	3.52	310.86	NA	96.42
6	641.32	14412.76	49.86	106.75	3.48	264.28	NA	97.60
7	641.89	14428.30	49.82	104.84	3.45	387.16	NA	97.85
8	630.23	14165.22	50.74	106.75	3.64	297.22	NA	96.04
9	647.20	14539.54	49.41	104.84	3.40	302.06	NA	98.14
10	638.64	14309.74	50.07	104.84	3.37	298.94	NA	94.58
