run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	637.94	14306.59	50.13	104.84	3.64	262.73	NA	95.20
2	628.74	14118.37	50.87	106.75	3.27	300.18	NA	94.98
3	641.86	14421.93	49.83	104.84	3.44	325.41	NA	97.53
4	635.16	14238.90	50.36	106.75	3.45	280.09	NA	94.51
5	646.15	14511.42	49.50	104.84	3.53	290.90	NA	97.68
6	636.57	14305.23	50.24	106.75	3.55	298.76	NA	96.86
7	639.00	14343.78	50.05	104.84	3.62	246.68	NA	96.16
8	641.45	14392.93	49.86	104.84	3.55	280.20	NA	96.20
9	645.04	14469.32	49.58	104.84	3.44	287.74	NA	96.52
10	640.99	14389.54	49.89	104.84	3.46	284.23	NA	96.59
