run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	647.74	14601.10	49.38	102.97	3.20	286.46	NA	101.28
2	644.77	14492.02	49.60	104.84	3.42	268.01	NA	98.18
3	648.59	14545.87	49.31	102.97	3.46	325.00	NA	96.87
4	646.32	14511.11	49.48	104.84	3.19	288.49	NA	97.52
5	645.61	14491.44	49.54	104.84	3.39	243.72	NA	97.25
6	643.33	14441.09	49.71	104.84	3.43	280.56	NA	96.88
7	640.80	14410.78	49.91	104.84	3.02	314.55	NA	98.20
8	641.90	14434.00	49.83	104.84	3.26	295.53	NA	98.11
9	643.78	14482.92	49.68	104.84	3.40	264.42	NA	98.85
10	644.45	14457.23	49.63	104.84	3.50	320.72	NA	96.50
