run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	426.10	9578.37	75.06	158.63	3.99	409.07	NA	64.94
2	430.74	9649.81	74.25	158.63	3.85	530.77	NA	63.66
3	417.48	9359.98	76.61	161.51	4.02	412.98	NA	62.17
4	424.92	9502.88	75.27	158.63	3.67	426.13	NA	61.76
5	427.15	9566.93	74.87	158.63	4.00	355.58	NA	62.99
6	425.54	9559.47	75.16	158.63	4.10	356.17	NA	64.54
7	426.18	9582.89	75.05	158.63	3.93	360.89	NA	65.21
8	431.15	9662.38	74.18	155.80	3.90	452.11	NA	63.92
9	425.22	9565.25	75.21	158.63	3.62	493.92	NA	65.29
10	427.93	9600.95	74.74	158.63	3.47	483.82	NA	64.09
