run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	341.01	7634.14	93.78	196.89	3.88	500.07	NA	50.10
2	337.18	7580.82	94.86	200.47	4.29	614.74	NA	51.53
3	338.51	7621.29	94.48	200.47	4.25	453.26	NA	52.40
4	340.31	7610.77	93.96	196.89	3.96	527.10	NA	49.55
5	338.52	7593.02	94.47	200.47	4.07	554.12	NA	50.57
6	338.54	7598.37	94.47	200.47	4.25	479.90	NA	50.91
7	341.14	7656.87	93.75	196.89	4.23	588.34	NA	51.31
8	340.10	7641.31	94.04	196.89	3.90	578.49	NA	51.66
9	339.19	7614.70	94.29	200.47	4.00	478.34	NA	51.07
10	339.45	7628.21	94.22	200.47	3.94	507.03	NA	51.64
