run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	625.37	14019.94	51.14	108.68	3.49	300.37	NA	93.07
2	632.64	14169.79	50.56	106.75	3.50	258.08	NA	93.34
3	636.67	14314.34	50.24	104.84	3.43	291.02	NA	97.30
4	627.85	14095.39	50.94	106.75	3.51	286.28	NA	94.64
5	623.70	14014.49	51.28	108.68	3.55	333.15	NA	94.79
6	629.16	14104.99	50.83	106.75	3.30	301.61	NA	93.60
7	626.88	14084.38	51.02	106.75	3.42	288.59	NA	95.20
8	628.23	14092.47	50.91	106.75	3.34	291.70	NA	94.02
9	629.13	14129.29	50.84	106.75	3.56	307.05	NA	95.19
10	628.38	14125.96	50.90	106.75	3.40	277.88	NA	95.87
