run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	644.24	14472.68	49.65	104.84	3.18	246.75	NA	97.72
2	644.90	14436.55	49.59	104.84	3.24	260.94	NA	94.60
3	642.21	14434.83	49.80	104.84	3.53	282.22	NA	97.82
4	645.71	14490.56	49.53	104.84	3.59	276.21	NA	97.01
5	638.75	14311.78	50.07	104.84	3.67	283.51	NA	94.56
6	639.56	14379.05	50.01	106.75	3.39	234.41	NA	97.64
7	642.99	14445.21	49.74	104.84	3.44	273.09	NA	97.54
8	643.47	14387.29	49.71	104.84	3.50	288.58	NA	93.39
9	641.32	14382.23	49.87	104.84	3.45	339.65	NA	95.70
10	629.61	14163.26	50.80	106.75	3.40	290.21	NA	96.67
