Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1,S1,S1,S1,S1,S1,S1,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:21:07.689,2.00,1.97,100.00,0.00,0.00,1202739317,0.00,0.00,1202744890,0.00,0.00,1203058170,0.00,-1,-1,1203058170,0.00,-1,-1,1203080770,0.00,-1,-1,1203080770,0.00,-1,-1,1203104160,0.00,-1,-1,1203104160,0.00,-1,-1,1202707061,100.00,-1,-1,1202707061,100.00,-1,-1,1202717517,100.00,-1,-1,1202717517,100.00,-1,-1,1202728616,100.00,-1,-1,1202728616,100.00,-1,-1,597231,36.45,36.45,41,392363,6.00,6.00,1.90,0.80,100.00,0.00,0.00,1203086149,0.00,0.00,1203088117,0.00,0.00,1203532158,0.00,-1,-1,1203532158,0.00,-1,-1,1203544809,0.00,-1,-1,1203544809,0.00,-1,-1,1203556326,0.00,-1,-1,1203556326,0.00,-1,-1,1203077684,100.00,-1,-1,1203077684,100.00,-1,-1,1203080484,100.00,-1,-1,1203080484,100.00,-1,-1,1203082880,100.00,-1,-1,1203082880,100.00,-1,-1,430609,26.28,26.28,48,351453,5.38,5.38,
2026-04-01,22:21:08.687,2.00,1.90,100.00,0.00,0.00,1199234367,0.00,0.00,1199235329,0.00,0.00,1199754808,0.00,-1,-1,1199754808,0.00,-1,-1,1199754336,0.00,-1,-1,1199754336,0.00,-1,-1,1199753169,0.00,-1,-1,1199753169,0.00,-1,-1,1199229591,100.00,-1,-1,1199229591,100.00,-1,-1,1199230734,100.00,-1,-1,1199230734,100.00,-1,-1,1199231989,100.00,-1,-1,1199231989,100.00,-1,-1,593853,36.25,36.25,41,391514,5.99,5.99,1.90,0.80,100.00,0.00,0.00,1199301685,0.00,0.00,1199304829,0.00,0.00,1199860584,0.00,-1,-1,1199860584,0.00,-1,-1,1199868827,0.00,-1,-1,1199868827,0.00,-1,-1,1199875353,0.00,-1,-1,1199875353,0.00,-1,-1,1199291210,100.00,-1,-1,1199291210,100.00,-1,-1,1199294208,100.00,-1,-1,1199294208,100.00,-1,-1,1199297278,100.00,-1,-1,1199297278,100.00,-1,-1,428670,26.16,26.16,48,350556,5.36,5.36,
2026-04-01,22:21:09.688,2.00,1.86,100.00,0.00,0.00,1200283931,0.00,0.00,1200285044,0.00,0.00,1200802212,0.00,-1,-1,1200802212,0.00,-1,-1,1200845802,0.00,-1,-1,1200845802,0.00,-1,-1,1200846420,0.00,-1,-1,1200846420,0.00,-1,-1,1200278684,100.00,-1,-1,1200278684,100.00,-1,-1,1200280023,100.00,-1,-1,1200280023,100.00,-1,-1,1200281880,100.00,-1,-1,1200281880,100.00,-1,-1,591749,36.12,36.12,41,391718,5.99,5.99,1.90,0.80,100.00,0.00,0.00,1200081129,0.00,0.00,1200082462,0.00,0.00,1200697881,0.00,-1,-1,1200697881,0.00,-1,-1,1200689602,0.00,-1,-1,1200689602,0.00,-1,-1,1200682839,0.00,-1,-1,1200682839,0.00,-1,-1,1200084775,100.00,-1,-1,1200084775,100.00,-1,-1,1200083277,100.00,-1,-1,1200083277,100.00,-1,-1,1200080582,100.00,-1,-1,1200080582,100.00,-1,-1,428956,26.18,26.18,48,351476,5.38,5.38,
2026-04-01,22:21:10.688,2.00,1.87,100.00,0.00,0.00,1199104417,0.00,0.00,1199105555,0.00,0.00,1199667893,0.00,-1,-1,1199667893,0.00,-1,-1,1199624385,0.00,-1,-1,1199624385,0.00,-1,-1,1199624313,0.00,-1,-1,1199624313,0.00,-1,-1,1199098988,100.00,-1,-1,1199098988,100.00,-1,-1,1199100278,100.00,-1,-1,1199100278,100.00,-1,-1,1199101983,100.00,-1,-1,1199101983,100.00,-1,-1,591674,36.11,36.11,41,392601,6.01,6.01,1.90,0.80,100.00,0.00,0.00,1199128269,0.00,0.00,1199129458,0.00,0.00,1199649547,0.00,-1,-1,1199649547,0.00,-1,-1,1199649205,0.00,-1,-1,1199649205,0.00,-1,-1,1199649466,0.00,-1,-1,1199649466,0.00,-1,-1,1199123793,100.00,-1,-1,1199123793,100.00,-1,-1,1199125210,100.00,-1,-1,1199125210,100.00,-1,-1,1199126081,100.00,-1,-1,1199126081,100.00,-1,-1,428500,26.15,26.15,48,350505,5.36,5.36,
2026-04-01,22:21:11.688,2.00,1.87,100.00,0.00,0.00,1200025660,0.00,0.00,1200026857,0.00,0.00,1200574023,0.00,-1,-1,1200574023,0.00,-1,-1,1200573924,0.00,-1,-1,1200573924,0.00,-1,-1,1200573810,0.00,-1,-1,1200573810,0.00,-1,-1,1200020928,100.00,-1,-1,1200020928,100.00,-1,-1,1200021993,100.00,-1,-1,1200021993,100.00,-1,-1,1200023355,100.00,-1,-1,1200023355,100.00,-1,-1,593428,36.22,36.18,41,391855,6.00,5.99,1.90,0.80,100.00,0.00,0.00,1200016063,0.00,0.00,1200017200,0.00,0.00,1200550488,0.00,-1,-1,1200550488,0.00,-1,-1,1200550493,0.00,-1,-1,1200550493,0.00,-1,-1,1200550363,0.00,-1,-1,1200550363,0.00,-1,-1,1200011474,100.00,-1,-1,1200011474,100.00,-1,-1,1200012393,100.00,-1,-1,1200012393,100.00,-1,-1,1200013714,100.00,-1,-1,1200013714,100.00,-1,-1,427929,26.12,26.09,48,351069,5.37,5.37,
2026-04-01,22:21:12.689,2.00,1.87,100.00,0.00,0.00,1199936092,0.00,0.00,1199937666,0.00,0.00,1200457549,0.00,-1,-1,1200457549,0.00,-1,-1,1200457632,0.00,-1,-1,1200457632,0.00,-1,-1,1200457659,0.00,-1,-1,1200457659,0.00,-1,-1,1199929449,100.00,-1,-1,1199929449,100.00,-1,-1,1199931677,100.00,-1,-1,1199931677,100.00,-1,-1,1199933022,100.00,-1,-1,1199933022,100.00,-1,-1,587168,35.84,35.84,41,391154,5.98,5.98,1.90,0.85,100.00,0.00,0.00,1199965955,0.00,0.00,1199967208,0.00,0.00,1200486826,0.00,-1,-1,1200486826,0.00,-1,-1,1200487118,0.00,-1,-1,1200487118,0.00,-1,-1,1200487072,0.00,-1,-1,1200487072,0.00,-1,-1,1199961547,100.00,-1,-1,1199961547,100.00,-1,-1,1199962901,100.00,-1,-1,1199962901,100.00,-1,-1,1199963892,100.00,-1,-1,1199963892,100.00,-1,-1,432938,26.42,26.42,48,349940,5.35,5.35,
2026-04-01,22:21:13.690,2.00,1.85,100.00,0.00,0.00,1200250666,0.00,0.00,1200252782,0.00,0.00,1200809238,0.00,-1,-1,1200809238,0.00,-1,-1,1200818997,0.00,-1,-1,1200818997,0.00,-1,-1,1200822446,0.00,-1,-1,1200822446,0.00,-1,-1,1200243999,100.00,-1,-1,1200243999,100.00,-1,-1,1200245205,100.00,-1,-1,1200245205,100.00,-1,-1,1200246585,100.00,-1,-1,1200246585,100.00,-1,-1,580647,35.44,35.40,41,391516,5.99,5.98,1.90,0.85,100.00,0.00,0.00,1200473354,0.00,0.00,1200476839,0.00,0.00,1201038482,0.00,-1,-1,1201038482,0.00,-1,-1,1201042041,0.00,-1,-1,1201042041,0.00,-1,-1,1201050140,0.00,-1,-1,1201050140,0.00,-1,-1,1200469818,100.00,-1,-1,1200469818,100.00,-1,-1,1200472860,100.00,-1,-1,1200472860,100.00,-1,-1,1200476381,100.00,-1,-1,1200476381,100.00,-1,-1,435802,26.60,26.57,48,351249,5.37,5.37,
2026-04-01,22:21:14.690,2.00,1.86,100.00,0.00,0.00,1200437775,0.00,0.00,1200437402,0.00,0.00,1201023473,0.00,-1,-1,1201023473,0.00,-1,-1,1201013730,0.00,-1,-1,1201013730,0.00,-1,-1,1201010040,0.00,-1,-1,1201010040,0.00,-1,-1,1200398985,100.00,-1,-1,1200398985,100.00,-1,-1,1200437520,100.00,-1,-1,1200437520,100.00,-1,-1,1200437346,100.00,-1,-1,1200437346,100.00,-1,-1,584205,35.66,35.62,40,390367,5.97,5.97,1.90,0.84,100.00,0.00,0.00,1200220639,0.00,0.00,1200221753,0.00,0.00,1200771680,0.00,-1,-1,1200771680,0.00,-1,-1,1200768106,0.00,-1,-1,1200768106,0.00,-1,-1,1200760187,0.00,-1,-1,1200760187,0.00,-1,-1,1200215952,100.00,-1,-1,1200215952,100.00,-1,-1,1200217044,100.00,-1,-1,1200217044,100.00,-1,-1,1200218180,100.00,-1,-1,1200218180,100.00,-1,-1,429715,26.23,26.20,48,350165,5.36,5.35,
2026-04-01,22:21:15.690,2.00,1.89,100.00,0.00,0.00,1199206911,0.00,0.00,1199207975,0.00,0.00,1199726593,0.00,-1,-1,1199726593,0.00,-1,-1,1199769429,0.00,-1,-1,1199769429,0.00,-1,-1,1199769618,0.00,-1,-1,1199769618,0.00,-1,-1,1199201284,100.00,-1,-1,1199201284,100.00,-1,-1,1199202875,100.00,-1,-1,1199202875,100.00,-1,-1,1199204417,100.00,-1,-1,1199204417,100.00,-1,-1,588207,35.90,35.94,40,389576,5.96,5.97,1.90,0.80,100.00,0.00,0.00,1199232511,0.00,0.00,1199233428,0.00,0.00,1199765682,0.00,-1,-1,1199765682,0.00,-1,-1,1199765626,0.00,-1,-1,1199765626,0.00,-1,-1,1199765460,0.00,-1,-1,1199765460,0.00,-1,-1,1199227195,100.00,-1,-1,1199227195,100.00,-1,-1,1199228432,100.00,-1,-1,1199228432,100.00,-1,-1,1199229362,100.00,-1,-1,1199229362,100.00,-1,-1,428088,26.13,26.15,48,350371,5.36,5.37,
