Socket0_Watts,Socket1_Watts
36.45,26.28
36.25,26.16
36.12,26.18
36.11,26.15
36.18,26.09
35.84,26.42
35.4,26.57
35.62,26.2
35.94,26.15
36.18,26.09
35.94,26.13
36.18,26.1
36.07,26.13
35.93,26.08
35.86,26.14
36.02,26.09
36.02,26.16
35.98,26.14
35.8,26.1
35.85,26.37
35.81,26.09
35.74,26.33
35.87,26.12
35.81,26.09
35.72,26.13
35.84,26.23
36.06,26.15
36.05,26.12
35.74,26.59
35.76,26.53
36.3,26.17
36.41,26.22
36.49,26.16
36.53,26.11
36.53,26.1
36.47,26.13
36.42,26.17
36.4,26.2
36.52,26.21
36.3,26.36
36.5,26.28
36.4,26.26
36.39,26.28
36.48,26.19
36.46,26.17
36.41,26.15
36.43,26.17
35.97,26.76
36.39,26.26
36.63,26.15
36.61,26.16
36.67,26.25
36.06,26.28
36.13,26.31
35.98,26.35
36.02,26.91
36.55,26.27
