Socket0_Watts,Socket1_Watts
36.64,26.34
36.77,26.41
36.59,26.31
36.51,26.37
36.57,26.37
36.54,26.33
36.54,26.34
36.57,26.28
36.54,26.37
36.62,26.7
36.57,26.44
36.56,26.42
36.53,26.2
36.63,26.25
36.61,26.34
36.57,26.49
36.39,26.28
36.55,26.4
36.49,26.37
36.75,26.33
36.46,26.26
36.51,26.38
36.42,26.25
36.71,26.2
36.67,26.16
36.54,26.24
36.44,26.15
36.37,26.12
36.61,26.17
36.44,26.15
36.53,26.19
36.61,26.23
36.63,26.16
36.55,26.18
36.63,26.2
34.83,25.77
36.03,26.21
36.51,26.28
36.43,26.31
36.5,26.18
36.7,26.14
36.55,26.15
36.7,26.14
36.77,26.18
36.61,26.17
36.45,26.17
36.91,26.25
36.58,26.34
35.88,26.87
35.63,26.81
35.75,26.77
35.67,26.89
36.38,26.2
36.72,26.33
36.52,26.3
36.55,26.26
36.61,26.52
