Socket0_Watts,Socket1_Watts
37.37,26.48
37.15,26.47
36.99,26.39
37.31,26.27
37.18,26.58
36.56,26.35
36.41,26.52
37.14,26.28
37.2,26.44
37.13,26.41
37.14,26.27
37.12,26.36
36.92,26.26
36.97,26.4
36.8,26.34
36.85,26.45
36.99,26.43
36.9,26.53
36.8,26.33
36.64,26.48
36.55,26.69
36.65,26.41
36.63,26.38
37.37,26.33
37.2,26.25
37.0,26.33
36.99,26.45
36.92,26.19
37.25,26.13
37.07,26.31
37.07,26.36
37.1,26.39
37.04,26.49
37.17,26.37
37.0,26.27
37.11,26.46
36.81,26.34
37.01,26.39
37.04,26.56
37.02,26.59
36.93,26.67
36.84,26.37
36.9,26.45
36.38,26.42
37.11,26.69
37.12,26.48
37.1,26.53
37.07,26.55
37.06,26.47
37.16,26.38
37.03,26.46
36.89,26.43
36.86,26.41
36.92,26.42
36.65,26.8
36.24,27.17
36.42,27.03
