Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1,S1,S1,S1,S1,S1,S1,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:24:08.683,2.00,1.93,100.00,0.00,0.00,1202982061,0.00,0.00,1202987050,0.00,0.00,1203292722,0.00,-1,-1,1203292722,0.00,-1,-1,1203316034,0.00,-1,-1,1203316034,0.00,-1,-1,1203338968,0.00,-1,-1,1203338968,0.00,-1,-1,1202950362,100.00,-1,-1,1202950362,100.00,-1,-1,1202960872,100.00,-1,-1,1202960872,100.00,-1,-1,1202971711,100.00,-1,-1,1202971711,100.00,-1,-1,606155,37.00,37.00,34,392755,6.01,6.01,1.90,0.80,100.00,0.00,0.00,1203071461,0.00,0.00,1203073285,0.00,0.00,1203559680,0.00,-1,-1,1203559680,0.00,-1,-1,1203563237,0.00,-1,-1,1203563237,0.00,-1,-1,1203566869,0.00,-1,-1,1203566869,0.00,-1,-1,1203063982,100.00,-1,-1,1203063982,100.00,-1,-1,1203066522,100.00,-1,-1,1203066522,100.00,-1,-1,1203068787,100.00,-1,-1,1203068787,100.00,-1,-1,434425,26.52,26.52,46,350873,5.37,5.37,
2026-04-01,22:24:09.683,2.00,1.91,100.00,0.00,0.00,1199938726,0.00,0.00,1199939730,0.00,0.00,1200460401,0.00,-1,-1,1200460401,0.00,-1,-1,1200496515,0.00,-1,-1,1200496515,0.00,-1,-1,1200496631,0.00,-1,-1,1200496631,0.00,-1,-1,1199932650,100.00,-1,-1,1199932650,100.00,-1,-1,1199933961,100.00,-1,-1,1199933961,100.00,-1,-1,1199935871,100.00,-1,-1,1199935871,100.00,-1,-1,604560,36.90,36.90,34,392942,6.01,6.01,1.90,1.15,100.00,0.00,0.00,1199946952,0.00,0.00,1199948134,0.00,0.00,1200478138,0.00,-1,-1,1200478138,0.00,-1,-1,1200478230,0.00,-1,-1,1200478230,0.00,-1,-1,1200478241,0.00,-1,-1,1200478241,0.00,-1,-1,1199941919,100.00,-1,-1,1199941919,100.00,-1,-1,1199943174,100.00,-1,-1,1199943174,100.00,-1,-1,1199944288,100.00,-1,-1,1199944288,100.00,-1,-1,432672,26.41,26.41,46,350510,5.36,5.36,
2026-04-01,22:24:10.683,2.00,1.89,100.00,0.00,0.00,1199197814,0.00,0.00,1199198892,0.00,0.00,1199755032,0.00,-1,-1,1199755032,0.00,-1,-1,1199718391,0.00,-1,-1,1199718391,0.00,-1,-1,1199718622,0.00,-1,-1,1199718622,0.00,-1,-1,1199191644,100.00,-1,-1,1199191644,100.00,-1,-1,1199192766,100.00,-1,-1,1199192766,100.00,-1,-1,1199194097,100.00,-1,-1,1199194097,100.00,-1,-1,602213,36.76,36.76,34,392388,6.00,6.00,1.90,0.82,100.00,0.00,0.00,1199219785,0.00,0.00,1199220916,0.00,0.00,1199741829,0.00,-1,-1,1199741829,0.00,-1,-1,1199741540,0.00,-1,-1,1199741540,0.00,-1,-1,1199741911,0.00,-1,-1,1199741911,0.00,-1,-1,1199214500,100.00,-1,-1,1199214500,100.00,-1,-1,1199216032,100.00,-1,-1,1199216032,100.00,-1,-1,1199217135,100.00,-1,-1,1199217135,100.00,-1,-1,431065,26.31,26.31,46,352141,5.39,5.39,
2026-04-01,22:24:11.683,2.00,1.89,100.00,0.00,0.00,1199969251,0.00,0.00,1199970601,0.00,0.00,1200528134,0.00,-1,-1,1200528134,0.00,-1,-1,1200528197,0.00,-1,-1,1200528197,0.00,-1,-1,1200528024,0.00,-1,-1,1200528024,0.00,-1,-1,1199963633,100.00,-1,-1,1199963633,100.00,-1,-1,1199964950,100.00,-1,-1,1199964950,100.00,-1,-1,1199966440,100.00,-1,-1,1199966440,100.00,-1,-1,604152,36.87,36.84,34,391354,5.99,5.98,1.90,0.80,100.00,0.00,0.00,1199973704,0.00,0.00,1199975383,0.00,0.00,1200504531,0.00,-1,-1,1200504531,0.00,-1,-1,1200504833,0.00,-1,-1,1200504833,0.00,-1,-1,1200504449,0.00,-1,-1,1200504449,0.00,-1,-1,1199969339,100.00,-1,-1,1199969339,100.00,-1,-1,1199970443,100.00,-1,-1,1199970443,100.00,-1,-1,1199971551,100.00,-1,-1,1199971551,100.00,-1,-1,431142,26.31,26.29,46,351611,5.38,5.37,
2026-04-01,22:24:12.683,2.00,1.90,100.00,0.00,0.00,1198810055,0.00,0.00,1198811131,0.00,0.00,1199330580,0.00,-1,-1,1199330580,0.00,-1,-1,1199330776,0.00,-1,-1,1199330776,0.00,-1,-1,1199330664,0.00,-1,-1,1199330664,0.00,-1,-1,1198803395,100.00,-1,-1,1198803395,100.00,-1,-1,1198805400,100.00,-1,-1,1198805400,100.00,-1,-1,1198807305,100.00,-1,-1,1198807305,100.00,-1,-1,603407,36.83,36.87,34,390554,5.98,5.98,1.90,0.80,100.00,0.00,0.00,1198830298,0.00,0.00,1198831644,0.00,0.00,1199352064,0.00,-1,-1,1199352064,0.00,-1,-1,1199351967,0.00,-1,-1,1199351967,0.00,-1,-1,1199352144,0.00,-1,-1,1199352144,0.00,-1,-1,1198824851,100.00,-1,-1,1198824851,100.00,-1,-1,1198826386,100.00,-1,-1,1198826386,100.00,-1,-1,1198828077,100.00,-1,-1,1198828077,100.00,-1,-1,432598,26.40,26.43,46,349354,5.35,5.35,
2026-04-01,22:24:13.683,2.00,1.87,100.00,0.00,0.00,1199982881,0.00,0.00,1199984534,0.00,0.00,1200572365,0.00,-1,-1,1200572365,0.00,-1,-1,1200580304,0.00,-1,-1,1200580304,0.00,-1,-1,1200585707,0.00,-1,-1,1200585707,0.00,-1,-1,1199982179,100.00,-1,-1,1199982179,100.00,-1,-1,1199984159,100.00,-1,-1,1199984159,100.00,-1,-1,1199985735,100.00,-1,-1,1199985735,100.00,-1,-1,604132,36.87,36.87,34,391418,5.99,5.99,1.90,0.80,100.00,0.00,0.00,1200035856,0.00,0.00,1200037294,0.00,0.00,1200579889,0.00,-1,-1,1200579889,0.00,-1,-1,1200588565,0.00,-1,-1,1200588565,0.00,-1,-1,1200596239,0.00,-1,-1,1200596239,0.00,-1,-1,1200031272,100.00,-1,-1,1200031272,100.00,-1,-1,1200032421,100.00,-1,-1,1200032421,100.00,-1,-1,1200033524,100.00,-1,-1,1200033524,100.00,-1,-1,432376,26.39,26.39,46,350126,5.36,5.36,
2026-04-01,22:24:14.682,2.00,1.89,100.00,0.00,0.00,1199342471,0.00,0.00,1199340159,0.00,0.00,1199810016,0.00,-1,-1,1199810016,0.00,-1,-1,1199778961,0.00,-1,-1,1199778961,0.00,-1,-1,1199750578,0.00,-1,-1,1199750578,0.00,-1,-1,1199358876,100.00,-1,-1,1199358876,100.00,-1,-1,1199352123,100.00,-1,-1,1199352123,100.00,-1,-1,1199345505,100.00,-1,-1,1199345505,100.00,-1,-1,605267,36.94,36.94,34,390241,5.97,5.97,1.90,0.80,100.00,0.00,0.00,1198556553,0.00,0.00,1198553984,0.00,0.00,1199061175,0.00,-1,-1,1199061175,0.00,-1,-1,1199032045,0.00,-1,-1,1199032045,0.00,-1,-1,1199001376,0.00,-1,-1,1199001376,0.00,-1,-1,1198578838,100.00,-1,-1,1198578838,100.00,-1,-1,1198569816,100.00,-1,-1,1198569816,100.00,-1,-1,1198561535,100.00,-1,-1,1198561535,100.00,-1,-1,430307,26.26,26.26,46,349285,5.34,5.34,
2026-04-01,22:24:15.682,2.00,1.91,100.00,0.00,0.00,1199019705,0.00,0.00,1199021132,0.00,0.00,1199234379,0.00,-1,-1,1199234379,0.00,-1,-1,1199234532,0.00,-1,-1,1199234532,0.00,-1,-1,1199234835,0.00,-1,-1,1199234835,0.00,-1,-1,1199014047,100.00,-1,-1,1199014047,100.00,-1,-1,1199015460,100.00,-1,-1,1199015460,100.00,-1,-1,1199016914,100.00,-1,-1,1199016914,100.00,-1,-1,606447,37.01,37.01,34,390890,5.98,5.98,1.90,1.08,100.00,0.00,0.00,1198994918,0.00,0.00,1198996940,0.00,0.00,1199216901,0.00,-1,-1,1199216901,0.00,-1,-1,1199214607,0.00,-1,-1,1199214607,0.00,-1,-1,1199214505,0.00,-1,-1,1199214505,0.00,-1,-1,1198989173,100.00,-1,-1,1198989173,100.00,-1,-1,1198990838,100.00,-1,-1,1198990838,100.00,-1,-1,1198992183,100.00,-1,-1,1198992183,100.00,-1,-1,433557,26.46,26.46,46,351516,5.38,5.38,
2026-04-01,22:24:16.683,2.00,1.90,100.00,0.00,0.00,1200401769,0.00,0.00,1200406176,0.00,0.00,1200750531,0.00,-1,-1,1200750531,0.00,-1,-1,1200781101,0.00,-1,-1,1200781101,0.00,-1,-1,1200813255,0.00,-1,-1,1200813255,0.00,-1,-1,1200373467,100.00,-1,-1,1200373467,100.00,-1,-1,1200383158,100.00,-1,-1,1200383158,100.00,-1,-1,1200393258,100.00,-1,-1,1200393258,100.00,-1,-1,607446,37.08,37.08,34,391914,6.00,6.00,1.90,0.82,100.00,0.00,0.00,1201427128,0.00,0.00,1201428197,0.00,0.00,1201769175,0.00,-1,-1,1201769175,0.00,-1,-1,1201797019,0.00,-1,-1,1201797019,0.00,-1,-1,1201827907,0.00,-1,-1,1201827907,0.00,-1,-1,1201394086,100.00,-1,-1,1201394086,100.00,-1,-1,1201405757,100.00,-1,-1,1201405757,100.00,-1,-1,1201416837,100.00,-1,-1,1201416837,100.00,-1,-1,432797,26.42,26.42,46,352571,5.39,5.39,
