run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	763.07	17192.67	41.93	89.16	1.49	237.07	NA	118.90
2	780.87	17561.30	40.97	86.00	1.28	236.96	NA	119.57
3	762.96	17147.26	41.93	87.56	1.41	261.68	NA	116.15
4	756.19	17039.83	42.31	89.16	1.45	270.89	NA	117.79
5	758.56	17077.73	42.17	89.16	1.41	298.33	NA	117.26
6	764.76	17169.56	41.83	87.56	1.25	220.25	NA	115.29
7	756.16	17019.43	42.31	89.16	1.43	238.34	NA	116.66
8	761.53	17110.41	42.01	87.56	1.26	228.24	NA	115.72
9	791.16	17768.04	40.44	84.47	1.40	233.34	NA	119.57
10	765.04	17260.38	41.82	87.56	1.45	242.42	NA	120.52
