run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	465.29	10439.80	68.74	144.97	1.53	364.49	NA	69.77
2	456.98	10265.70	69.99	147.61	1.74	410.94	NA	69.32
3	455.13	10201.45	70.27	147.61	1.79	374.52	NA	67.60
4	455.39	10222.16	70.23	147.61	1.89	416.69	NA	68.56
5	456.26	10264.51	70.10	147.61	1.82	402.27	NA	70.02
6	452.40	10186.30	70.70	147.61	1.51	396.78	NA	69.99
7	454.96	10214.01	70.30	147.61	1.43	411.39	NA	68.52
8	457.31	10286.41	69.93	147.61	1.76	403.24	NA	70.17
9	450.96	10136.95	70.91	150.29	1.88	353.68	NA	68.79
10	452.38	10187.46	70.71	150.29	1.84	381.76	NA	70.11
