run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	477.81	10688.83	66.94	139.85	1.63	393.72	NA	69.69
2	472.86	10638.40	67.64	142.39	1.76	313.86	NA	72.69
3	476.02	10680.01	67.19	142.39	1.57	400.67	NA	71.37
4	474.56	10649.17	67.39	142.39	1.66	362.94	NA	71.27
5	479.79	10786.02	66.67	139.85	1.88	342.58	NA	73.22
6	475.22	10662.35	67.30	142.39	1.77	405.46	NA	71.23
7	472.18	10603.68	67.73	142.39	1.79	395.81	NA	71.36
8	472.71	10614.31	67.66	139.85	1.93	439.31	NA	71.31
9	476.51	10675.45	67.12	139.85	1.66	458.06	NA	70.39
10	478.60	10737.24	66.84	139.85	1.63	341.67	NA	71.69
