run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	466.12	10475.23	68.62	144.97	1.48	351.35	NA	70.91
2	466.45	10466.74	68.57	144.97	1.78	428.32	NA	69.96
3	470.23	10497.67	68.02	142.39	1.84	373.46	NA	67.25
4	472.56	10614.12	67.68	142.39	1.76	375.00	NA	71.58
5	464.36	10472.05	68.87	144.97	1.76	470.50	NA	72.91
6	465.67	10463.34	68.69	144.97	1.68	410.05	NA	70.75
7	462.57	10399.22	69.14	144.97	1.63	389.99	NA	70.64
8	465.90	10441.23	68.65	144.97	1.75	340.56	NA	69.12
9	469.89	10566.53	68.07	142.39	1.75	357.57	NA	71.91
10	469.00	10521.69	68.19	144.97	1.74	393.50	NA	70.24
