run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	774.93	17396.13	41.28	87.56	1.43	241.29	NA	116.73
2	773.24	17417.31	41.37	87.56	1.36	250.19	NA	120.11
3	772.19	17377.47	41.43	87.56	1.33	219.23	NA	118.94
4	772.67	17377.10	41.40	87.56	1.40	211.38	NA	118.30
5	783.81	17607.58	40.82	86.00	1.23	254.37	NA	118.80
6	768.32	17304.30	41.64	87.56	1.45	288.56	NA	119.25
7	783.05	17584.86	40.85	86.00	1.32	327.88	NA	118.34
8	767.16	17254.33	41.70	87.56	1.29	222.00	NA	117.69
9	770.02	17306.95	41.54	87.56	1.35	224.56	NA	117.24
10	777.44	17476.50	41.15	87.56	1.41	273.99	NA	118.58
