run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	756.17	17028.10	42.30	89.16	1.43	231.95	NA	117.18
2	760.09	17072.74	42.09	87.56	1.37	227.74	NA	115.15
3	768.40	17243.80	41.63	87.56	1.50	290.33	NA	115.36
4	764.29	17171.16	41.85	87.56	1.39	317.41	NA	116.00
5	771.65	17306.15	41.46	87.56	1.41	256.63	NA	115.22
6	787.80	17710.70	40.61	86.00	1.39	241.83	NA	120.27
7	781.81	17558.28	40.92	86.00	1.37	234.42	NA	118.19
8	779.49	17535.08	41.04	86.00	1.33	236.16	NA	119.70
9	770.73	17364.60	41.51	87.56	1.33	276.08	NA	119.98
10	777.08	17451.35	41.17	86.00	1.46	210.98	NA	117.50
