,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:25:18.107,1203615825,100.00,-1,-1,1203615825,0.00,2,1203615825,1203615879,100.00,-1,-1,1203615879,0.00,2,1203615879,1203615942,100.00,-1,-1,1203615942,0.00,2,1203615942,1203615993,100.00,-1,-1,1203615993,0.00,2,1203615993,1203616044,100.00,-1,-1,1203616044,0.00,2,1203616044,1203616110,100.00,-1,-1,1203616110,0.00,2,1203616110,1203616158,100.00,-1,-1,1203616158,0.00,2,1203616158,1203616209,100.00,-1,-1,1203616209,0.00,2,1203616209,1103529281,0.00,0.00,0.00,1529551,93.36,93.26,49,97344,5.94,5.94,
2026-04-01,21:25:19.107,1198171896,100.00,-1,-1,1198171896,0.00,2,1198171896,1198171896,100.00,-1,-1,1198171896,0.00,2,1198171896,1198171899,100.00,-1,-1,1198171899,0.00,2,1198171899,1198171899,100.00,-1,-1,1198171899,0.00,2,1198171899,1198171893,100.00,-1,-1,1198171893,0.00,2,1198171893,1198171890,100.00,-1,-1,1198171890,0.00,2,1198171890,1198171887,100.00,-1,-1,1198171887,0.00,2,1198171887,1198171884,100.00,-1,-1,1198171884,0.00,2,1198171884,1098418217,0.00,0.00,0.00,1525875,93.13,93.13,49,93714,5.72,5.72,
2026-04-01,21:25:20.106,1196447883,100.00,-1,-1,1196447883,0.00,2,1196447883,1196447886,100.00,-1,-1,1196447886,0.00,2,1196447886,1196447886,100.00,-1,-1,1196447886,0.00,2,1196447886,1196447901,100.00,-1,-1,1196447901,0.00,2,1196447901,1196447901,100.00,-1,-1,1196447901,0.00,2,1196447901,1196447895,100.00,-1,-1,1196447895,0.00,2,1196447895,1196447901,100.00,-1,-1,1196447901,0.00,2,1196447901,1196447901,100.00,-1,-1,1196447901,0.00,2,1196447901,1096852916,0.00,0.00,0.00,1522451,92.92,92.92,49,94333,5.76,5.76,
2026-04-01,21:25:21.107,1197445431,100.00,-1,-1,1197445431,0.00,2,1197445431,1197445422,100.00,-1,-1,1197445422,0.00,2,1197445422,1197445422,100.00,-1,-1,1197445422,0.00,2,1197445422,1197445428,100.00,-1,-1,1197445428,0.00,2,1197445428,1197445428,100.00,-1,-1,1197445428,0.00,2,1197445428,1197445437,100.00,-1,-1,1197445437,0.00,2,1197445437,1197445437,100.00,-1,-1,1197445437,0.00,2,1197445437,1197445443,100.00,-1,-1,1197445443,0.00,2,1197445443,1097777016,0.00,0.00,0.00,1513545,92.38,92.38,49,94418,5.76,5.76,
2026-04-01,21:25:22.107,1197402588,100.00,-1,-1,1197402588,0.00,2,1197402588,1197402558,100.00,-1,-1,1197402558,0.00,2,1197402558,1197402537,100.00,-1,-1,1197402537,0.00,2,1197402537,1197402510,100.00,-1,-1,1197402510,0.00,2,1197402510,1197402483,100.00,-1,-1,1197402483,0.00,2,1197402483,1197402456,100.00,-1,-1,1197402456,0.00,2,1197402456,1197402423,100.00,-1,-1,1197402423,0.00,2,1197402423,1197402393,100.00,-1,-1,1197402393,0.00,2,1197402393,1097641484,0.00,0.00,0.00,1514138,92.42,92.42,49,92974,5.67,5.67,
2026-04-01,21:25:23.107,1197384279,100.00,-1,-1,1197384279,0.00,2,1197384279,1197384309,100.00,-1,-1,1197384309,0.00,2,1197384309,1197384330,100.00,-1,-1,1197384330,0.00,2,1197384330,1197384363,100.00,-1,-1,1197384363,0.00,2,1197384363,1197384390,100.00,-1,-1,1197384390,0.00,2,1197384390,1197384417,100.00,-1,-1,1197384417,0.00,2,1197384417,1197384501,100.00,-1,-1,1197384501,0.00,2,1197384501,1197384528,100.00,-1,-1,1197384528,0.00,2,1197384528,1097749541,0.00,0.00,0.00,1520473,92.80,92.71,49,94256,5.75,5.75,
2026-04-01,21:25:24.107,1196694903,100.00,-1,-1,1196694903,0.00,2,1196694903,1196694909,100.00,-1,-1,1196694909,0.00,2,1196694909,1196694912,100.00,-1,-1,1196694912,0.00,2,1196694912,1196694915,100.00,-1,-1,1196694915,0.00,2,1196694915,1196694921,100.00,-1,-1,1196694921,0.00,2,1196694921,1196694918,100.00,-1,-1,1196694918,0.00,2,1196694918,1196694924,100.00,-1,-1,1196694924,0.00,2,1196694924,1196694924,100.00,-1,-1,1196694924,0.00,2,1196694924,1097115302,0.00,0.00,0.00,1519018,92.71,92.81,49,94279,5.75,5.76,
2026-04-01,21:25:25.107,1197694890,100.00,-1,-1,1197694890,0.00,2,1197694890,1197694884,100.00,-1,-1,1197694884,0.00,2,1197694884,1197694878,100.00,-1,-1,1197694878,0.00,2,1197694878,1197694890,100.00,-1,-1,1197694890,0.00,2,1197694890,1197694890,100.00,-1,-1,1197694890,0.00,2,1197694890,1197694884,100.00,-1,-1,1197694884,0.00,2,1197694884,1197694890,100.00,-1,-1,1197694890,0.00,2,1197694890,1197694890,100.00,-1,-1,1197694890,0.00,2,1197694890,1097945508,0.00,0.00,0.00,1518856,92.70,92.61,49,93333,5.70,5.69,
2026-04-01,21:25:26.109,1197449037,100.00,-1,-1,1197449037,0.00,2,1197449037,1197449043,100.00,-1,-1,1197449043,0.00,2,1197449043,1197449043,100.00,-1,-1,1197449043,0.00,2,1197449043,1197449067,100.00,-1,-1,1197449067,0.00,2,1197449067,1197449076,100.00,-1,-1,1197449076,0.00,2,1197449076,1197449073,100.00,-1,-1,1197449073,0.00,2,1197449073,1197449088,100.00,-1,-1,1197449088,0.00,2,1197449088,1197449088,100.00,-1,-1,1197449088,0.00,2,1197449088,1097765229,0.00,0.00,0.00,1522142,92.90,92.90,49,94719,5.78,5.78,
