run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.14	340.68	2080.58	4358.09	64.92	8093.76	NA	2.34
2	15.27	344.95	2061.16	4437.27	67.23	9218.80	NA	2.43
3	15.66	348.69	2007.14	4358.09	48.00	9735.33	NA	2.18
4	15.46	345.10	2032.92	4517.90	67.00	9309.55	NA	2.20
5	15.32	348.49	2051.40	4358.09	67.23	9248.18	NA	2.59
6	14.98	345.70	2100.09	4437.27	64.94	10320.68	NA	2.83
7	15.39	347.19	2045.58	4599.99	64.40	8398.47	NA	2.43
8	15.53	344.85	2024.23	4517.90	65.28	7253.35	NA	2.12
9	15.15	345.57	2077.75	4517.90	56.46	7373.62	NA	2.63
10	15.08	340.49	2089.25	4437.27	58.27	8729.24	NA	2.39
