run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.63	346.73	2012.91	4055.23	72.96	8272.09	NA	2.09
2	15.40	345.54	2044.43	4128.91	58.87	8258.29	NA	2.32
3	15.28	348.72	2063.27	4517.90	62.91	10888.24	NA	2.63
4	14.96	330.96	2088.03	4280.32	58.87	7934.71	NA	1.96
5	15.25	339.84	2063.21	4055.23	58.92	8052.25	NA	2.16
6	15.36	344.46	2050.87	4203.93	67.29	8552.62	NA	2.29
7	15.69	349.47	2007.00	4203.93	62.31	6969.68	NA	2.19
8	15.83	356.40	1991.32	4055.23	59.51	7307.02	NA	2.45
9	15.41	345.47	2042.65	4358.09	61.05	6940.18	NA	2.29
10	14.85	337.21	2117.49	4437.27	66.72	7307.41	NA	2.48
