run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	8659.81	138556.99	3.69	4.10	2.34	8.22	NA	0.00
2	8648.63	138378.10	3.70	4.10	2.24	7.91	NA	0.00
3	8659.57	138553.15	3.69	4.10	2.26	8.17	NA	0.00
4	8652.19	138435.09	3.70	4.10	2.36	8.76	NA	0.00
5	8657.13	138514.12	3.69	4.10	2.38	8.04	NA	0.00
6	8645.79	138332.71	3.70	4.10	2.37	7.91	NA	0.00
7	8662.20	138595.20	3.69	4.10	2.37	8.10	NA	0.00
8	8656.91	138510.60	3.69	4.10	2.38	8.37	NA	0.00
9	8662.99	138607.81	3.69	4.10	2.38	8.71	NA	0.00
10	8662.10	138593.57	3.69	4.10	2.29	8.62	NA	0.00
