run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	8650.97	138415.49	3.70	4.10	2.32	8.44	NA	0.00
2	8651.79	138428.62	3.70	4.10	2.33	8.53	NA	0.00
3	8647.96	138367.36	3.70	4.10	2.33	8.33	NA	0.00
4	8651.72	138427.57	3.70	4.10	2.33	8.72	NA	0.00
5	8653.69	138459.07	3.70	4.10	2.32	7.39	NA	0.00
6	8650.96	138415.44	3.70	4.10	2.35	7.53	NA	0.00
7	8651.46	138423.37	3.70	4.10	2.31	8.01	NA	0.00
8	8655.16	138482.55	3.69	4.10	2.33	8.29	NA	0.00
9	8642.83	138285.23	3.70	4.10	2.23	8.02	NA	0.00
10	8656.37	138501.85	3.69	4.10	2.35	8.01	NA	0.00
