run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.37	341.34	2044.11	4280.32	67.07	7407.64	NA	2.09
2	15.01	338.92	2099.52	4437.27	58.89	9233.75	NA	2.39
3	15.27	342.89	2058.99	4517.90	60.71	8923.35	NA	2.30
4	15.44	341.76	2039.96	4358.09	50.84	7107.07	NA	2.03
5	15.29	338.83	2060.47	4358.09	58.90	8831.90	NA	2.03
6	15.58	357.86	2022.53	4517.90	64.96	10312.53	NA	2.82
7	15.36	345.07	2051.32	4280.32	67.22	7836.25	NA	2.34
8	15.57	353.17	2018.91	4358.09	58.02	8831.06	NA	2.57
9	15.29	341.26	2058.13	4280.32	60.66	8026.81	NA	2.18
10	15.51	347.02	2028.39	4055.23	57.54	9826.66	NA	2.27
