run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.47	349.68	2033.34	4517.90	57.96	8580.09	NA	2.48
2	15.93	349.40	1977.24	4203.93	59.30	7742.46	NA	1.89
3	15.32	346.01	2054.80	4358.09	66.57	7423.19	NA	2.44
4	15.27	341.09	2057.79	3982.86	50.32	7481.52	NA	2.20
5	15.61	347.92	2018.98	4203.93	62.72	7089.48	NA	2.19
6	15.59	345.75	2021.41	4358.09	64.25	7290.80	NA	2.09
7	15.57	345.25	2020.30	4203.93	66.95	10547.75	NA	2.09
8	15.34	346.14	2051.10	4128.91	58.78	8430.01	NA	2.43
9	15.69	347.63	2005.30	4128.91	58.90	7985.48	NA	2.09
10	16.33	360.62	1926.26	4055.23	58.89	8707.73	NA	2.09
