run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	14.04	320.00	2235.19	4683.57	70.67	8461.89	NA	2.42
2	14.80	333.96	2124.52	4517.90	63.26	9307.95	NA	2.33
3	14.97	335.79	2100.86	4437.27	66.69	7792.16	NA	2.24
4	14.93	339.76	2103.35	4517.90	56.82	7029.91	NA	2.54
5	15.31	338.74	2055.87	4203.93	62.40	9515.55	NA	2.00
6	15.25	343.01	2064.05	4599.99	57.13	8385.20	NA	2.33
7	15.24	338.88	2065.23	4358.09	67.23	7331.92	NA	2.11
8	15.12	341.89	2082.68	4437.27	60.51	7590.77	NA	2.43
9	15.19	341.46	2072.45	4437.27	57.20	7156.05	NA	2.32
10	15.45	350.30	2036.19	4358.09	50.20	6912.57	NA	2.55
