run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.02	330.33	2092.16	4358.09	59.04	8502.93	NA	1.83
2	15.13	341.18	2078.85	4437.27	67.21	7434.01	NA	2.37
3	15.00	335.92	2096.00	4128.91	71.26	7207.28	NA	2.20
4	15.27	335.10	2054.83	4280.32	67.24	7768.27	NA	1.81
5	15.29	337.88	2057.43	4437.27	66.99	10648.13	NA	1.97
6	15.23	345.22	2062.86	4280.32	58.96	7240.87	NA	2.51
7	15.07	344.59	2088.28	4599.99	62.26	7224.36	NA	2.66
8	14.95	336.49	2107.01	4599.99	63.69	10026.94	NA	2.31
9	15.29	345.26	2060.51	4280.32	58.84	7653.90	NA	2.43
10	15.13	340.72	2078.91	4358.09	62.30	7758.94	NA	2.36
