run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.21	340.69	2063.89	4358.09	62.35	6494.63	NA	2.25
2	15.18	343.25	2073.12	4437.27	66.86	11031.06	NA	2.44
3	15.15	339.07	2076.79	4517.90	67.17	8427.99	NA	2.22
4	15.29	345.98	2056.20	4599.99	61.22	7285.03	NA	2.48
5	15.10	341.15	2084.27	4358.09	52.07	9010.73	NA	2.40
6	15.31	346.90	2054.91	4517.90	58.90	7431.01	NA	2.51
7	15.23	336.14	2065.87	4599.99	58.92	8957.62	NA	1.93
8	15.67	343.65	2011.29	3841.98	55.84	7274.62	NA	1.87
9	15.52	352.13	2027.97	4517.90	66.56	7500.72	NA	2.58
10	15.17	343.97	2071.43	4683.57	57.52	8511.74	NA	2.49
