run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	1697.43	27158.80	18.85	22.28	9.09	29.95	NA	0.00
2	1693.45	27095.21	18.89	23.95	10.47	27.63	NA	0.00
3	1696.06	27136.96	18.86	23.52	6.83	29.26	NA	0.00
4	1696.80	27148.87	18.86	23.95	4.31	29.67	NA	0.00
5	1689.53	27032.50	18.94	26.68	8.73	32.65	NA	0.00
6	1693.84	27101.37	18.89	23.52	11.40	28.59	NA	0.00
7	1700.35	27205.53	18.82	23.10	6.85	27.14	NA	0.00
8	1706.00	27295.95	18.75	23.52	9.68	28.67	NA	0.00
9	1695.15	27122.37	18.87	24.38	8.32	30.29	NA	0.00
10	1698.35	27173.63	18.84	23.52	9.31	30.36	NA	0.00
