run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	14.89	336.16	2115.06	4517.90	67.26	8298.31	NA	2.37
2	15.11	337.57	2083.79	4599.99	50.62	7407.15	NA	2.17
3	15.01	336.30	2095.06	4437.27	59.30	7475.58	NA	2.22
4	15.32	346.28	2055.51	4517.90	67.22	8929.70	NA	2.45
5	15.18	346.34	2073.40	4517.90	50.20	9275.19	NA	2.63
6	14.98	337.47	2099.25	4599.99	58.18	11509.72	NA	2.33
7	14.95	332.24	2103.05	4517.90	64.43	9774.71	NA	2.04
8	15.32	339.64	2056.57	4280.32	58.93	8076.85	NA	2.05
9	15.18	342.75	2069.69	4358.09	60.28	8998.07	NA	2.41
10	15.17	338.02	2070.93	4358.09	57.59	7886.37	NA	2.13
