run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.07	338.08	2085.22	4203.93	63.88	7232.40	NA	2.25
2	14.85	337.04	2117.00	4517.90	56.74	7925.56	NA	2.46
3	14.83	330.86	2120.56	4517.90	69.54	9483.01	NA	2.11
4	15.09	338.90	2085.55	4517.90	62.82	8488.99	NA	2.29
5	14.94	340.59	2104.98	4517.90	65.04	7843.88	NA	2.58
6	15.29	343.41	2056.90	4437.27	50.54	10089.18	NA	2.32
7	15.28	338.60	2059.92	4517.90	60.32	7425.38	NA	2.03
8	15.02	334.60	2097.56	4437.27	62.02	8068.31	NA	2.11
9	15.26	342.26	2063.56	4599.99	67.17	7365.17	NA	2.29
10	15.31	337.30	2053.68	4517.90	67.20	7519.26	NA	1.91
