Socket0_Watts,Socket1_Watts
24.68,23.37
24.57,23.32
24.59,23.32
24.57,23.32
24.73,23.35
24.59,23.32
24.7,23.36
24.63,23.32
24.6,23.32
24.71,23.32
24.69,23.35
24.62,23.32
24.54,23.36
24.54,23.32
24.65,23.32
24.57,23.35
24.63,23.32
24.62,23.35
24.58,23.32
24.62,23.32
24.58,23.32
24.5,23.37
24.54,23.32
24.58,23.32
24.67,23.32
24.63,23.36
24.61,23.36
24.48,23.32
24.59,23.32
24.4,23.29
24.59,23.36
24.59,23.34
24.45,23.34
24.61,23.32
24.56,23.3
24.49,23.34
24.53,23.35
24.56,23.35
24.51,23.32
24.53,23.32
24.55,23.33
24.64,23.34
24.55,23.32
24.6,23.34
24.67,23.32
24.53,23.29
24.63,23.35
24.66,23.32
24.56,23.33
24.45,23.34
24.63,23.32
24.51,23.37
24.6,23.34
24.55,23.32
24.64,23.39
24.57,23.32
24.53,23.38
24.62,23.32
24.54,23.37
24.47,23.32
