Socket0_Watts,Socket1_Watts
24.78,23.38
24.6,23.32
24.61,23.32
24.54,23.32
24.67,23.4
24.58,23.32
24.6,23.34
24.69,23.41
24.55,23.34
24.63,23.32
24.57,23.35
24.59,23.32
24.55,23.34
24.65,23.32
24.52,23.32
24.57,23.36
24.57,23.36
24.55,23.35
24.68,23.34
24.48,23.32
24.68,23.36
24.58,23.35
24.6,23.32
24.72,23.32
24.44,23.34
24.59,23.38
24.54,23.37
24.72,23.32
24.52,23.29
24.53,23.34
24.52,23.32
24.7,23.32
24.6,23.35
24.56,23.31
24.6,23.32
24.64,23.35
24.61,23.32
24.56,23.35
24.45,23.32
24.63,23.32
24.55,23.34
24.54,23.32
24.56,23.32
24.56,23.36
24.62,23.31
24.55,23.45
24.6,23.39
24.57,23.32
24.55,23.32
24.65,23.41
24.5,23.32
24.71,23.32
24.63,23.34
24.62,23.32
24.58,23.37
24.58,23.36
24.67,23.34
24.59,23.29
24.48,23.41
24.46,23.34
