,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:26:25.817,667198355,0.01,39664,667198355,667198355,0.01,39488,667198355,667199071,0.01,38532,667199071,667199071,0.01,38464,667199071,667199682,0.01,37661,667199682,667199682,0.01,37560,667199682,667200352,0.01,36583,667200352,667200352,0.01,36445,667200352,800623948,94.73,94.73,0.00,1613877,24.63,24.63,59,507131,7.74,7.74,667139987,0.01,37253,667139987,667139987,0.01,37336,667139987,667140404,0.01,36916,667140404,667140404,0.01,36897,667140404,667140632,0.01,36551,667140632,667140632,0.01,36441,667140632,667140862,0.01,36205,667140862,667140862,0.01,36155,667140862,800601584,99.88,99.88,0.00,1531867,23.37,23.37,54,589048,8.99,8.99,
2026-04-01,21:26:26.817,666642637,0.01,36843,666642637,666642637,0.01,36820,666642637,666643299,0.01,36066,666643299,666643299,0.01,35941,666643299,666643512,0.01,35642,666643512,666643512,0.01,46177,666643512,666643822,0.01,45730,666643822,666643822,0.01,45597,666643822,800012388,94.56,94.56,0.00,1609252,24.56,24.56,59,502713,7.67,7.67,666639825,0.01,36387,666639825,666639825,0.01,36251,666639825,666640096,0.01,35947,666640096,666640096,0.01,35950,666640096,666640259,0.01,35779,666640259,666640259,0.01,35727,666640259,666640423,0.01,35503,666640423,666640423,0.01,35440,666640423,800000584,99.96,99.96,0.00,1530071,23.35,23.35,55,590806,9.01,9.01,
2026-04-01,21:26:27.817,666517667,0.01,47773,666517667,666517667,0.01,47807,666517667,666518508,0.01,47027,666518508,666518508,0.01,47016,666518508,666518928,0.01,46612,666518928,666518928,0.01,36061,666518928,666519340,0.01,35677,666519340,666519340,0.01,35680,666519340,799865894,94.41,94.41,0.00,1615210,24.65,24.65,59,506382,7.73,7.73,666520182,0.01,51845,666520182,666520182,0.01,51887,666520182,666520749,0.01,51381,666520749,666520749,0.01,51423,666520749,666531348,0.01,40811,666531348,666531348,0.01,40925,666531348,666536664,0.01,35666,666536664,666536664,0.01,35718,666536664,799884575,99.94,99.94,0.00,1526939,23.30,23.30,55,588777,8.98,8.98,
2026-04-01,21:26:28.817,666509885,0.01,36160,666509885,666509885,0.01,36106,666509885,666510515,0.01,35416,666510515,666510515,0.01,35427,666510515,666510666,0.01,35259,666510666,666510666,0.01,35264,666510666,666510933,0.01,34989,666510933,666510933,0.01,35020,666510933,799853042,94.68,94.68,0.00,1607256,24.52,24.52,59,507509,7.74,7.74,666490788,0.01,36184,666490788,666490788,0.01,36151,666490788,666491091,0.01,35721,666491091,666491091,0.01,35648,666491091,666491207,0.01,35490,666491207,666491207,0.01,35377,666491207,666491279,0.01,35254,666491279,666491279,0.01,35211,666491279,799856547,99.95,99.95,0.00,1528450,23.32,23.32,53,585766,8.94,8.94,
2026-04-01,21:26:29.818,667177047,0.01,36807,667177047,667177047,0.01,36816,667177047,667177547,0.01,36319,667177547,667177547,0.01,36337,667177547,667177920,0.01,35949,667177920,667177920,0.01,35947,667177920,667178312,0.01,35575,667178312,667178312,0.01,35579,667178312,800658877,94.38,94.38,0.00,1619014,24.70,24.70,59,509495,7.77,7.77,667180425,0.01,36243,667180425,667180425,0.01,36244,667180425,667180911,0.01,35790,667180911,667180911,0.01,35830,667180911,667181096,0.01,35675,667181096,667181096,0.01,35681,667181096,667181442,0.01,35337,667181442,667181442,0.01,35337,667181442,800634366,99.84,99.84,0.00,1532196,23.38,23.38,53,580306,8.85,8.85,
2026-04-01,21:26:30.817,666508486,0.01,36023,666508486,666508486,0.01,36029,666508486,666508982,0.01,35585,666508982,666508982,0.01,35565,666508982,666509309,0.01,35323,666509309,666509309,0.01,35330,666509309,666509452,0.01,35199,666509452,666509452,0.01,35310,666509452,799852012,94.70,94.70,0.00,1610772,24.58,24.58,59,506433,7.73,7.73,666506362,0.01,36130,666506362,666506362,0.01,36159,666506362,666506685,0.01,35934,666506685,666506685,0.01,35925,666506685,666507028,0.01,35635,666507028,666507028,0.01,35671,666507028,666507243,0.01,35491,666507243,666507243,0.01,35534,666507243,799851678,99.96,99.96,0.00,1528450,23.32,23.32,54,582707,8.89,8.89,
2026-04-01,21:26:31.817,666507009,0.01,37095,666507009,666507009,0.01,37098,666507009,666507711,0.01,36343,666507711,666507711,0.01,36344,666507711,666508056,0.01,35980,666508056,666508056,0.01,35982,666508056,666508614,0.01,35395,666508614,666508614,0.01,35570,666508614,799852914,94.40,94.40,0.00,1614842,24.64,24.64,59,507672,7.75,7.75,666507814,0.01,36489,666507814,666507814,0.01,36663,666507814,666508126,0.01,36246,666508126,666508126,0.01,36192,666508126,666508450,0.01,35796,666508450,666508450,0.01,35752,666508450,666508566,0.01,35609,666508566,666508566,0.01,35552,666508566,799856596,99.83,99.83,0.00,1533322,23.40,23.40,54,584617,8.92,8.92,
2026-04-01,21:26:32.817,666622358,0.01,37243,666622358,666622358,0.01,37239,666622358,666623225,0.01,36821,666623225,666623225,0.01,36823,666623225,666623434,0.01,36569,666623434,666623434,0.01,36566,666623434,666624073,0.01,35981,666624073,666624073,0.01,35699,666624073,799991710,94.37,94.37,0.00,1612927,24.61,24.61,59,507885,7.75,7.75,666623656,0.01,36733,666623656,666623656,0.01,36587,666623656,666624177,0.01,36115,666624177,666624177,0.01,36181,666624177,666624616,0.01,35777,666624616,666624616,0.01,35817,666624616,666625012,0.01,35462,666625012,666625012,0.01,35519,666625012,800058955,99.77,99.77,0.00,1536921,23.45,23.45,55,587712,8.97,8.97,
2026-04-01,21:26:33.817,666576085,0.01,36868,666576085,666576085,0.01,36885,666576085,666576663,0.01,35929,666576663,666576663,0.01,35944,666576663,666577049,0.01,35545,666577049,666577049,0.01,35558,666577049,666577344,0.01,35225,666577344,666577344,0.01,35230,666577344,799935061,94.52,94.52,0.00,1612201,24.60,24.60,59,507563,7.74,7.74,666575396,0.01,36146,666575396,666575396,0.01,36132,666575396,666575653,0.01,35864,666575653,666575653,0.01,35857,666575653,666575759,0.01,35738,666575759,666575759,0.01,35738,666575759,666575949,0.01,35535,666575949,666575949,0.01,35533,666575949,799865929,99.97,99.97,0.00,1526702,23.30,23.30,53,579144,8.84,8.84,
2026-04-01,21:26:34.817,666561375,0.01,51568,666561375,666561375,0.01,51554,666561375,666576637,0.01,36297,666576637,666576637,0.01,36288,666576637,666577180,0.01,35836,666577180,666577180,0.01,35823,666577180,666577414,0.01,35574,666577414,666577414,0.01,35565,666577414,799937562,94.70,94.70,0.00,1614341,24.63,24.63,59,513143,7.83,7.83,666578643,0.01,36617,666578643,666578643,0.01,36611,666578643,666579061,0.01,36146,666579061,666579061,0.01,36139,666579061,666579285,0.01,35915,666579285,666579285,0.01,35920,666579285,666579693,0.01,35520,666579693,666579693,0.01,35524,666579693,799940937,99.93,99.93,0.00,1532312,23.38,23.38,55,569098,8.68,8.68,
2026-04-01,21:26:35.817,666500650,0.01,36649,666500650,666500650,0.01,36647,666500650,666501245,0.01,35973,666501245,666501245,0.01,35979,666501245,666501666,0.01,35460,666501666,666501666,0.01,35469,666501666,666501966,0.01,35288,666501966,666501966,0.01,35278,666501966,799843105,94.83,94.83,0.00,1606573,24.51,24.51,60,508445,7.76,7.76,666508275,0.01,36860,666508275,666508275,0.01,36868,666508275,666508780,0.01,36433,666508780,666508780,0.01,36460,666508780,666509100,0.01,36151,666509100,666509100,0.01,36153,666509100,666509405,0.01,35864,666509405,666509405,0.01,35866,666509405,799851656,99.84,99.84,0.00,1528855,23.33,23.33,55,570422,8.70,8.70,
2026-04-01,21:26:36.818,667181700,0.01,36354,667181700,667181700,0.01,36345,667181700,667182340,0.01,35673,667182340,667182340,0.01,35626,667182340,667182630,0.01,35297,667182630,667182630,0.01,35259,667182630,667182824,0.01,34911,667182824,667182824,0.01,34884,667182824,800660821,94.54,94.54,0.00,1615572,24.65,24.63,59,506034,7.72,7.71,667171409,0.01,36407,667171409,667171409,0.01,36408,667171409,667171850,0.01,35997,667171850,667171850,0.01,35977,667171850,667171961,0.01,35855,667171961,667171961,0.01,35848,667171961,667172188,0.01,35613,667172188,667172188,0.01,35609,667172188,800672636,99.97,99.97,0.00,1529730,23.34,23.32,56,572746,8.74,8.73,
