Socket0_Watts,Socket1_Watts
24.63,23.37
24.56,23.35
24.65,23.3
24.52,23.32
24.7,23.38
24.58,23.32
24.64,23.4
24.61,23.45
24.6,23.3
24.63,23.38
24.51,23.33
24.63,23.32
24.63,23.34
24.74,23.31
24.62,23.33
24.67,23.36
24.65,23.32
24.53,23.32
24.67,23.35
24.44,23.32
24.56,23.32
24.44,23.41
24.59,23.32
24.51,23.32
24.7,23.34
24.43,23.32
24.62,23.36
24.64,23.32
24.56,23.32
24.62,23.32
24.51,23.42
24.6,23.37
24.62,23.35
24.62,23.37
24.64,23.36
24.56,23.35
24.66,23.34
24.52,23.36
24.76,23.32
24.54,23.32
24.66,23.37
24.55,23.41
24.66,23.34
24.63,23.42
24.63,23.32
24.63,23.29
24.59,23.32
24.54,23.32
24.58,23.35
24.55,23.35
24.49,23.32
24.6,23.32
24.5,23.32
24.59,23.35
24.55,23.4
24.65,23.32
24.61,23.34
24.65,23.32
24.59,23.33
24.44,23.35
