run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	389.35	8730.66	82.16	267.41	2.50	1078.42	NA	58.05
2	358.42	8006.62	89.04	282.25	2.69	817.61	NA	51.61
3	353.86	7920.00	90.41	277.21	2.98	1580.64	NA	51.87
4	380.23	8499.31	84.14	257.95	3.02	858.71	NA	55.03
5	372.43	8327.15	85.88	257.95	2.92	1626.70	NA	54.04
6	398.24	8926.56	80.31	248.83	2.82	717.94	NA	59.19
7	356.27	7982.59	89.72	292.60	2.68	1004.86	NA	52.76
8	382.45	8575.23	83.65	262.64	2.47	1512.02	NA	56.92
9	375.22	8404.28	85.19	272.27	2.66	772.54	NA	55.34
10	375.86	8426.78	85.10	272.27	3.00	2041.49	NA	55.99
