run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	377.33	8468.35	84.79	267.41	2.84	1577.40	NA	56.74
2	386.62	8690.11	82.71	257.95	2.52	673.63	NA	58.90
3	367.28	8218.83	86.88	262.64	2.73	1370.82	NA	53.72
4	381.43	8578.74	83.88	257.95	2.81	747.59	NA	58.41
5	384.72	8601.06	83.16	257.95	2.69	1592.70	NA	55.81
6	384.89	8655.97	83.13	277.21	2.74	1049.21	NA	58.93
7	381.96	8556.99	83.76	267.41	3.01	1489.36	NA	56.46
8	383.98	8647.53	83.31	272.27	2.75	1105.93	NA	59.50
9	369.77	8318.87	86.51	253.35	2.66	2410.47	NA	56.80
10	367.28	8243.31	86.89	277.21	2.50	873.71	NA	55.17
