run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	635.54	14272.52	50.32	104.84	3.60	277.51	NA	96.05
2	637.37	14299.12	50.18	106.75	3.32	323.89	NA	95.48
3	632.04	14187.72	50.60	106.75	3.53	261.80	NA	95.16
4	630.54	14172.25	50.72	106.75	3.55	306.37	NA	96.12
5	646.10	14439.68	49.50	102.97	3.37	269.41	NA	93.40
6	639.02	14359.49	50.05	104.84	2.95	322.89	NA	97.18
7	642.31	14431.95	49.79	104.84	3.53	285.33	NA	97.56
8	632.65	14233.49	50.56	106.75	3.23	384.87	NA	97.24
9	628.68	14104.02	50.87	106.75	3.46	312.28	NA	94.15
10	625.77	14058.42	51.11	106.75	3.51	333.02	NA	94.98
