run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	634.85	14273.32	50.37	106.75	3.45	275.84	NA	97.01
2	633.63	14176.74	50.47	104.84	3.52	250.05	NA	92.52
3	629.30	14130.22	50.82	106.75	3.45	294.34	NA	94.98
4	628.76	14126.93	50.86	106.75	3.39	289.87	NA	95.54
5	631.29	14172.42	50.65	106.75	3.31	272.23	NA	95.11
6	634.28	14222.27	50.42	106.75	3.34	381.98	NA	94.54
7	627.91	14070.31	50.93	106.75	3.16	272.68	NA	93.07
8	623.91	14016.83	51.26	108.68	3.56	289.29	NA	94.56
9	624.70	14052.15	51.19	108.68	3.60	301.44	NA	95.91
10	635.49	14286.67	50.32	106.75	3.44	251.82	NA	97.04
