run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	639.00	14359.75	50.04	104.84	3.36	276.84	NA	97.23
2	632.95	14223.34	50.52	106.75	3.44	303.65	NA	96.27
3	641.40	14367.49	49.86	104.84	3.56	260.82	NA	94.76
4	635.48	14277.05	50.32	104.84	3.41	290.49	NA	96.44
5	635.32	14286.74	50.34	106.75	3.56	292.14	NA	97.25
6	634.70	14176.34	50.38	104.84	3.57	294.45	NA	91.23
7	637.00	14317.23	50.20	104.84	3.30	259.49	NA	97.04
8	638.37	14369.60	50.09	104.84	3.47	268.75	NA	98.55
9	639.36	14360.26	50.02	104.84	3.49	296.99	NA	96.80
10	638.27	14356.01	50.10	104.84	3.39	338.53	NA	97.84
