run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	636.57	14278.91	50.24	106.75	3.49	467.27	NA	95.24
2	626.03	14051.52	51.08	106.75	3.65	284.02	NA	94.17
3	635.63	14267.81	50.31	106.75	3.60	299.57	NA	95.74
4	631.03	14215.28	50.68	106.75	3.55	275.71	NA	98.15
5	644.99	14390.66	49.58	102.97	3.50	277.37	NA	91.81
6	641.15	14432.53	49.88	104.84	3.45	247.17	NA	99.04
7	639.47	14363.69	50.00	104.84	3.43	310.50	NA	96.87
8	631.15	14168.95	50.66	106.75	3.58	294.35	NA	95.10
9	636.40	14299.96	50.25	104.84	3.39	275.82	NA	96.75
10	624.42	14006.72	51.21	106.75	3.46	295.78	NA	93.42
