run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	641.76	14371.66	49.84	106.75	3.40	279.06	NA	94.57
2	639.92	14356.58	49.97	104.84	3.45	276.92	NA	95.91
3	634.59	14239.12	50.40	106.75	3.51	326.30	NA	95.25
4	630.70	14146.55	50.71	106.75	3.47	281.49	NA	94.27
5	642.96	14445.24	49.74	104.84	3.43	302.52	NA	97.67
6	626.75	14039.61	51.03	108.68	3.43	278.15	NA	92.55
7	636.62	14262.93	50.24	104.84	3.30	274.28	NA	94.14
8	633.67	14196.81	50.47	106.75	3.44	271.83	NA	93.72
9	631.82	14158.76	50.62	106.75	3.23	276.08	NA	93.69
10	633.84	14245.26	50.46	106.75	3.63	325.35	NA	96.50
