run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	637.72	14318.45	50.15	104.84	3.46	274.68	NA	96.30
2	642.39	14402.20	49.79	104.84	3.33	413.87	NA	95.69
3	641.82	14365.71	49.83	104.84	3.39	265.82	NA	94.07
4	647.05	14547.30	49.43	102.97	3.45	296.35	NA	98.84
5	645.92	14526.03	49.51	104.84	3.45	276.24	NA	98.86
6	650.98	14633.77	49.13	102.97	3.39	289.79	NA	99.31
7	646.15	14535.71	49.50	102.97	3.44	308.77	NA	99.24
8	644.22	14484.14	49.65	104.84	3.33	303.29	NA	98.40
9	645.42	14504.08	49.56	104.84	3.18	373.92	NA	98.24
10	644.80	14473.97	49.60	102.97	3.43	362.93	NA	97.08
