Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1,S1,S1,S1,S1,S1,S1,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:22:08.008,2.00,1.86,100.00,0.00,0.00,1203141480,0.00,0.00,1203144770,0.00,0.00,1203553314,0.00,-1,-1,1203553314,0.00,-1,-1,1203565015,0.00,-1,-1,1203565015,0.00,-1,-1,1203576968,0.00,-1,-1,1203576968,0.00,-1,-1,1203122632,100.00,-1,-1,1203122632,100.00,-1,-1,1203128784,100.00,-1,-1,1203128784,100.00,-1,-1,1203135053,100.00,-1,-1,1203135053,100.00,-1,-1,600384,36.64,36.64,37,393121,6.01,6.01,1.90,0.81,100.00,0.00,0.00,1203280990,0.00,0.00,1203282649,0.00,0.00,1203738027,0.00,-1,-1,1203738027,0.00,-1,-1,1203745335,0.00,-1,-1,1203745335,0.00,-1,-1,1203749237,0.00,-1,-1,1203749237,0.00,-1,-1,1203270471,100.00,-1,-1,1203270471,100.00,-1,-1,1203274266,100.00,-1,-1,1203274266,100.00,-1,-1,1203277381,100.00,-1,-1,1203277381,100.00,-1,-1,431577,26.34,26.34,47,352307,5.39,5.39,
2026-04-01,22:22:09.008,2.00,1.88,100.00,0.00,0.00,1199964237,0.00,0.00,1199965282,0.00,0.00,1200483878,0.00,-1,-1,1200483878,0.00,-1,-1,1200483497,0.00,-1,-1,1200483497,0.00,-1,-1,1200483477,0.00,-1,-1,1200483477,0.00,-1,-1,1199958662,100.00,-1,-1,1199958662,100.00,-1,-1,1199960223,100.00,-1,-1,1199960223,100.00,-1,-1,1199961441,100.00,-1,-1,1199961441,100.00,-1,-1,602484,36.77,36.77,38,392918,6.01,6.01,1.90,0.80,100.00,0.00,0.00,1199962485,0.00,0.00,1199964045,0.00,0.00,1200486211,0.00,-1,-1,1200486211,0.00,-1,-1,1200486641,0.00,-1,-1,1200486641,0.00,-1,-1,1200504280,0.00,-1,-1,1200504280,0.00,-1,-1,1199957462,100.00,-1,-1,1199957462,100.00,-1,-1,1199958699,100.00,-1,-1,1199958699,100.00,-1,-1,1199959872,100.00,-1,-1,1199959872,100.00,-1,-1,432751,26.41,26.41,47,350393,5.36,5.36,
2026-04-01,22:22:10.007,2.00,1.87,100.00,0.00,0.00,1199216540,0.00,0.00,1199214396,0.00,0.00,1199684955,0.00,-1,-1,1199684955,0.00,-1,-1,1199662680,0.00,-1,-1,1199662680,0.00,-1,-1,1199640088,0.00,-1,-1,1199640088,0.00,-1,-1,1199231789,100.00,-1,-1,1199231789,100.00,-1,-1,1199225969,100.00,-1,-1,1199225969,100.00,-1,-1,1199219352,100.00,-1,-1,1199219352,100.00,-1,-1,599517,36.59,36.59,37,392379,6.00,6.00,1.90,0.80,100.00,0.00,0.00,1198489990,0.00,0.00,1198488414,0.00,0.00,1198944674,0.00,-1,-1,1198944674,0.00,-1,-1,1198921776,0.00,-1,-1,1198921776,0.00,-1,-1,1198880976,0.00,-1,-1,1198880976,0.00,-1,-1,1198507896,100.00,-1,-1,1198507896,100.00,-1,-1,1198501017,100.00,-1,-1,1198501017,100.00,-1,-1,1198493961,100.00,-1,-1,1198493961,100.00,-1,-1,431008,26.31,26.31,47,351293,5.37,5.37,
2026-04-01,22:22:11.006,2.00,1.85,100.00,0.00,0.00,1199121361,0.00,0.00,1199122675,0.00,0.00,1199336382,0.00,-1,-1,1199336382,0.00,-1,-1,1199336184,0.00,-1,-1,1199336184,0.00,-1,-1,1199335931,0.00,-1,-1,1199335931,0.00,-1,-1,1199116049,100.00,-1,-1,1199116049,100.00,-1,-1,1199117682,100.00,-1,-1,1199117682,100.00,-1,-1,1199119035,100.00,-1,-1,1199119035,100.00,-1,-1,598236,36.51,36.51,37,391182,5.99,5.99,1.90,0.80,100.00,0.00,0.00,1199195638,0.00,0.00,1199198531,0.00,0.00,1199431866,0.00,-1,-1,1199431866,0.00,-1,-1,1199436477,0.00,-1,-1,1199436477,0.00,-1,-1,1199441610,0.00,-1,-1,1199441610,0.00,-1,-1,1199185881,100.00,-1,-1,1199185881,100.00,-1,-1,1199189256,100.00,-1,-1,1199189256,100.00,-1,-1,1199192395,100.00,-1,-1,1199192395,100.00,-1,-1,432111,26.37,26.37,47,349787,5.35,5.35,
2026-04-01,22:22:12.007,2.00,1.85,100.00,0.00,0.00,1200517876,0.00,0.00,1200519221,0.00,0.00,1200731079,0.00,-1,-1,1200731079,0.00,-1,-1,1200731104,0.00,-1,-1,1200731104,0.00,-1,-1,1200731121,0.00,-1,-1,1200731121,0.00,-1,-1,1200511649,100.00,-1,-1,1200511649,100.00,-1,-1,1200513366,100.00,-1,-1,1200513366,100.00,-1,-1,1200515281,100.00,-1,-1,1200515281,100.00,-1,-1,599188,36.57,36.57,37,392123,6.00,6.00,1.90,0.80,100.00,0.00,0.00,1200372613,0.00,0.00,1200373460,0.00,0.00,1200649591,0.00,-1,-1,1200649591,0.00,-1,-1,1200644685,0.00,-1,-1,1200644685,0.00,-1,-1,1200639678,0.00,-1,-1,1200639678,0.00,-1,-1,1200372548,100.00,-1,-1,1200372548,100.00,-1,-1,1200372546,100.00,-1,-1,1200372546,100.00,-1,-1,1200371923,100.00,-1,-1,1200371923,100.00,-1,-1,432049,26.37,26.37,47,349665,5.35,5.35,
2026-04-01,22:22:13.007,2.00,1.85,100.00,0.00,0.00,1199440038,0.00,0.00,1199441805,0.00,0.00,1199653627,0.00,-1,-1,1199653627,0.00,-1,-1,1199653613,0.00,-1,-1,1199653613,0.00,-1,-1,1199654103,0.00,-1,-1,1199654103,0.00,-1,-1,1199432725,100.00,-1,-1,1199432725,100.00,-1,-1,1199434650,100.00,-1,-1,1199434650,100.00,-1,-1,1199437310,100.00,-1,-1,1199437310,100.00,-1,-1,598618,36.54,36.54,37,391234,5.99,5.99,1.90,0.80,100.00,0.00,0.00,1199415057,0.00,0.00,1199417593,0.00,0.00,1199640218,0.00,-1,-1,1199640218,0.00,-1,-1,1199640320,0.00,-1,-1,1199640320,0.00,-1,-1,1199640022,0.00,-1,-1,1199640022,0.00,-1,-1,1199406957,100.00,-1,-1,1199406957,100.00,-1,-1,1199409733,100.00,-1,-1,1199409733,100.00,-1,-1,1199411927,100.00,-1,-1,1199411927,100.00,-1,-1,431402,26.33,26.33,47,350021,5.36,5.36,
2026-04-01,22:22:14.007,2.00,1.84,100.00,0.00,0.00,1200430995,0.00,0.00,1200432734,0.00,0.00,1200667155,0.00,-1,-1,1200667155,0.00,-1,-1,1200667186,0.00,-1,-1,1200667186,0.00,-1,-1,1200666697,0.00,-1,-1,1200666697,0.00,-1,-1,1200424291,100.00,-1,-1,1200424291,100.00,-1,-1,1200426003,100.00,-1,-1,1200426003,100.00,-1,-1,1200428197,100.00,-1,-1,1200428197,100.00,-1,-1,598704,36.54,36.54,38,391107,5.98,5.98,1.90,0.80,100.00,0.00,0.00,1200388731,0.00,0.00,1200389565,0.00,0.00,1200642430,0.00,-1,-1,1200642430,0.00,-1,-1,1200642214,0.00,-1,-1,1200642214,0.00,-1,-1,1200642404,0.00,-1,-1,1200642404,0.00,-1,-1,1200385765,100.00,-1,-1,1200385765,100.00,-1,-1,1200386250,100.00,-1,-1,1200386250,100.00,-1,-1,1200386585,100.00,-1,-1,1200386585,100.00,-1,-1,431574,26.34,26.34,47,351352,5.38,5.38,
2026-04-01,22:22:15.007,2.00,1.86,100.00,0.00,0.00,1199412390,0.00,0.00,1199413400,0.00,0.00,1199626853,0.00,-1,-1,1199626853,0.00,-1,-1,1199626604,0.00,-1,-1,1199626604,0.00,-1,-1,1199626791,0.00,-1,-1,1199626791,0.00,-1,-1,1199401201,100.00,-1,-1,1199401201,100.00,-1,-1,1199407888,100.00,-1,-1,1199407888,100.00,-1,-1,1199409545,100.00,-1,-1,1199409545,100.00,-1,-1,599203,36.57,36.57,37,390304,5.97,5.97,1.90,0.80,100.00,0.00,0.00,1199418613,0.00,0.00,1199419848,0.00,0.00,1199643487,0.00,-1,-1,1199643487,0.00,-1,-1,1199643678,0.00,-1,-1,1199643678,0.00,-1,-1,1199643782,0.00,-1,-1,1199643782,0.00,-1,-1,1199416110,100.00,-1,-1,1199416110,100.00,-1,-1,1199416024,100.00,-1,-1,1199416024,100.00,-1,-1,1199416902,100.00,-1,-1,1199416902,100.00,-1,-1,430638,26.28,26.28,47,353067,5.40,5.40,
2026-04-01,22:22:16.007,2.00,1.88,100.00,0.00,0.00,1199762612,0.00,0.00,1199764647,0.00,0.00,1199984157,0.00,-1,-1,1199984157,0.00,-1,-1,1199986024,0.00,-1,-1,1199986024,0.00,-1,-1,1199989256,0.00,-1,-1,1199989256,0.00,-1,-1,1199755233,100.00,-1,-1,1199755233,100.00,-1,-1,1199756786,100.00,-1,-1,1199756786,100.00,-1,-1,1199759094,100.00,-1,-1,1199759094,100.00,-1,-1,598631,36.54,36.54,37,392135,6.00,6.00,1.90,0.80,100.00,0.00,0.00,1199797959,0.00,0.00,1199799309,0.00,0.00,1200028181,0.00,-1,-1,1200028181,0.00,-1,-1,1200031025,0.00,-1,-1,1200031025,0.00,-1,-1,1200032784,0.00,-1,-1,1200032784,0.00,-1,-1,1199792433,100.00,-1,-1,1199792433,100.00,-1,-1,1199793932,100.00,-1,-1,1199793932,100.00,-1,-1,1199795233,100.00,-1,-1,1199795233,100.00,-1,-1,432069,26.37,26.37,47,352435,5.39,5.39,
