Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0P0,S0P0,S0P0,S0P1,S0P1,S0P1,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1P0,S1P0,S1P0,S1P1,S1P1,S1P1,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH0,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH1,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH2,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH3,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH4,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1CH5,S1,S1,S1,S1,S1,S1,S1,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),UPI Clocks,L0p Tx Cycles(%),L1 Cycles(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:26:09.240,2.00,1.88,100.00,0.00,0.00,1202665260,0.00,0.00,1202671097,0.00,0.00,1202980183,0.00,-1,-1,1202980183,0.00,-1,-1,1203003562,0.00,-1,-1,1203003562,0.00,-1,-1,1203026844,0.00,-1,-1,1203026844,0.00,-1,-1,1202633752,100.00,-1,-1,1202633752,100.00,-1,-1,1202644510,100.00,-1,-1,1202644510,100.00,-1,-1,1202655258,100.00,-1,-1,1202655258,100.00,-1,-1,610890,37.29,37.25,32,390160,5.97,5.96,1.90,0.82,100.00,0.00,0.00,1202726059,0.00,0.00,1202728217,0.00,0.00,1203215808,0.00,-1,-1,1203215808,0.00,-1,-1,1203219556,0.00,-1,-1,1203219556,0.00,-1,-1,1203223079,0.00,-1,-1,1203223079,0.00,-1,-1,1202717926,100.00,-1,-1,1202717926,100.00,-1,-1,1202720208,100.00,-1,-1,1202720208,100.00,-1,-1,1202722448,100.00,-1,-1,1202722448,100.00,-1,-1,436584,26.65,26.62,46,352197,5.39,5.38,
2026-04-01,22:26:10.240,2.00,1.89,100.00,0.00,0.00,1200320128,0.00,0.00,1200321223,0.00,0.00,1200879924,0.00,-1,-1,1200879924,0.00,-1,-1,1200879354,0.00,-1,-1,1200879354,0.00,-1,-1,1200878508,0.00,-1,-1,1200878508,0.00,-1,-1,1200314073,100.00,-1,-1,1200314073,100.00,-1,-1,1200315654,100.00,-1,-1,1200315654,100.00,-1,-1,1200317131,100.00,-1,-1,1200317131,100.00,-1,-1,608528,37.14,37.14,32,389165,5.95,5.95,1.90,0.80,100.00,0.00,0.00,1200354410,0.00,0.00,1200356019,0.00,0.00,1200887805,0.00,-1,-1,1200887805,0.00,-1,-1,1200887860,0.00,-1,-1,1200887860,0.00,-1,-1,1200887844,0.00,-1,-1,1200887844,0.00,-1,-1,1200350242,100.00,-1,-1,1200350242,100.00,-1,-1,1200351163,100.00,-1,-1,1200351163,100.00,-1,-1,1200351840,100.00,-1,-1,1200351840,100.00,-1,-1,432767,26.41,26.41,45,350267,5.36,5.36,
2026-04-01,22:26:11.239,2.00,1.91,100.00,0.00,0.00,1198814417,0.00,0.00,1198815564,0.00,0.00,1199334146,0.00,-1,-1,1199334146,0.00,-1,-1,1199334282,0.00,-1,-1,1199334282,0.00,-1,-1,1199334303,0.00,-1,-1,1199334303,0.00,-1,-1,1198808455,100.00,-1,-1,1198808455,100.00,-1,-1,1198810514,100.00,-1,-1,1198810514,100.00,-1,-1,1198811680,100.00,-1,-1,1198811680,100.00,-1,-1,610407,37.26,37.26,32,389501,5.96,5.96,1.90,0.80,100.00,0.00,0.00,1198853666,0.00,0.00,1198854868,0.00,0.00,1199377375,0.00,-1,-1,1199377375,0.00,-1,-1,1199377335,0.00,-1,-1,1199377335,0.00,-1,-1,1199377711,0.00,-1,-1,1199377711,0.00,-1,-1,1198849596,100.00,-1,-1,1198849596,100.00,-1,-1,1198850426,100.00,-1,-1,1198850426,100.00,-1,-1,1198851493,100.00,-1,-1,1198851493,100.00,-1,-1,428976,26.18,26.18,45,349529,5.35,5.35,
2026-04-01,22:26:12.240,2.00,1.90,100.00,0.00,0.00,1200009461,0.00,0.00,1200010726,0.00,0.00,1200528202,0.00,-1,-1,1200528202,0.00,-1,-1,1200553404,0.00,-1,-1,1200553404,0.00,-1,-1,1200553425,0.00,-1,-1,1200553425,0.00,-1,-1,1200003687,100.00,-1,-1,1200003687,100.00,-1,-1,1200005127,100.00,-1,-1,1200005127,100.00,-1,-1,1200006861,100.00,-1,-1,1200006861,100.00,-1,-1,609518,37.20,37.20,32,390367,5.97,5.97,1.90,0.80,100.00,0.00,0.00,1199974638,0.00,0.00,1199975645,0.00,0.00,1200515383,0.00,-1,-1,1200515383,0.00,-1,-1,1200515174,0.00,-1,-1,1200515174,0.00,-1,-1,1200514764,0.00,-1,-1,1200514764,0.00,-1,-1,1199970941,100.00,-1,-1,1199970941,100.00,-1,-1,1199971857,100.00,-1,-1,1199971857,100.00,-1,-1,1199972565,100.00,-1,-1,1199972565,100.00,-1,-1,432921,26.42,26.42,45,351895,5.38,5.38,
2026-04-01,22:26:13.241,2.00,1.86,100.00,0.00,0.00,1199933814,0.00,0.00,1199934983,0.00,0.00,1200478004,0.00,-1,-1,1200478004,0.00,-1,-1,1200452562,0.00,-1,-1,1200452562,0.00,-1,-1,1200452514,0.00,-1,-1,1200452514,0.00,-1,-1,1199928006,100.00,-1,-1,1199928006,100.00,-1,-1,1199929197,100.00,-1,-1,1199929197,100.00,-1,-1,1199930724,100.00,-1,-1,1199930724,100.00,-1,-1,608534,37.14,37.10,32,390142,5.97,5.96,1.90,0.85,100.00,0.00,0.00,1199944045,0.00,0.00,1199945404,0.00,0.00,1200465430,0.00,-1,-1,1200465430,0.00,-1,-1,1200465442,0.00,-1,-1,1200465442,0.00,-1,-1,1200465324,0.00,-1,-1,1200465324,0.00,-1,-1,1199938771,100.00,-1,-1,1199938771,100.00,-1,-1,1199940056,100.00,-1,-1,1199940056,100.00,-1,-1,1199941196,100.00,-1,-1,1199941196,100.00,-1,-1,433991,26.49,26.46,45,352223,5.39,5.38,
2026-04-01,22:26:14.241,2.00,1.89,100.00,0.00,0.00,1200456121,0.00,0.00,1200457173,0.00,0.00,1200975763,0.00,-1,-1,1200975763,0.00,-1,-1,1200975870,0.00,-1,-1,1200975870,0.00,-1,-1,1200980441,0.00,-1,-1,1200980441,0.00,-1,-1,1200449813,100.00,-1,-1,1200449813,100.00,-1,-1,1200451628,100.00,-1,-1,1200451628,100.00,-1,-1,1200452976,100.00,-1,-1,1200452976,100.00,-1,-1,611703,37.34,37.34,32,389748,5.96,5.96,1.90,0.80,100.00,0.00,0.00,1200484077,0.00,0.00,1200485214,0.00,0.00,1201006204,0.00,-1,-1,1201006204,0.00,-1,-1,1201006200,0.00,-1,-1,1201006200,0.00,-1,-1,1201006231,0.00,-1,-1,1201006231,0.00,-1,-1,1200479324,100.00,-1,-1,1200479324,100.00,-1,-1,1200480595,100.00,-1,-1,1200480595,100.00,-1,-1,1200481824,100.00,-1,-1,1200481824,100.00,-1,-1,433407,26.45,26.45,46,352235,5.39,5.39,
2026-04-01,22:26:15.241,2.00,1.92,100.00,0.00,0.00,1198920694,0.00,0.00,1198921750,0.00,0.00,1199486285,0.00,-1,-1,1199486285,0.00,-1,-1,1199486124,0.00,-1,-1,1199486124,0.00,-1,-1,1199481603,0.00,-1,-1,1199481603,0.00,-1,-1,1198915343,100.00,-1,-1,1198915343,100.00,-1,-1,1198917060,100.00,-1,-1,1198917060,100.00,-1,-1,1198918245,100.00,-1,-1,1198918245,100.00,-1,-1,607604,37.09,37.09,32,389958,5.97,5.97,1.90,0.80,100.00,0.00,0.00,1198930742,0.00,0.00,1198932231,0.00,0.00,1199451495,0.00,-1,-1,1199451495,0.00,-1,-1,1199451226,0.00,-1,-1,1199451226,0.00,-1,-1,1199451261,0.00,-1,-1,1199451261,0.00,-1,-1,1198926374,100.00,-1,-1,1198926374,100.00,-1,-1,1198927273,100.00,-1,-1,1198927273,100.00,-1,-1,1198928760,100.00,-1,-1,1198928760,100.00,-1,-1,434509,26.52,26.52,45,351962,5.39,5.39,
2026-04-01,22:26:16.241,2.00,1.89,100.00,0.00,0.00,1200002920,0.00,0.00,1200003846,0.00,0.00,1200556381,0.00,-1,-1,1200556381,0.00,-1,-1,1200556533,0.00,-1,-1,1200556533,0.00,-1,-1,1200556744,0.00,-1,-1,1200556744,0.00,-1,-1,1199996298,100.00,-1,-1,1199996298,100.00,-1,-1,1199998539,100.00,-1,-1,1199998539,100.00,-1,-1,1199999859,100.00,-1,-1,1199999859,100.00,-1,-1,608141,37.12,37.12,32,390929,5.98,5.98,1.90,0.80,100.00,0.00,0.00,1199999451,0.00,0.00,1200000504,0.00,0.00,1200533817,0.00,-1,-1,1200533817,0.00,-1,-1,1200534055,0.00,-1,-1,1200534055,0.00,-1,-1,1200534238,0.00,-1,-1,1200534238,0.00,-1,-1,1199995842,100.00,-1,-1,1199995842,100.00,-1,-1,1199996805,100.00,-1,-1,1199996805,100.00,-1,-1,1199997805,100.00,-1,-1,1199997805,100.00,-1,-1,434881,26.54,26.54,45,351400,5.38,5.38,
2026-04-01,22:26:17.241,2.00,1.89,100.00,0.00,0.00,1198843908,0.00,0.00,1198845184,0.00,0.00,1199364678,0.00,-1,-1,1199364678,0.00,-1,-1,1199364344,0.00,-1,-1,1199364344,0.00,-1,-1,1199364285,0.00,-1,-1,1199364285,0.00,-1,-1,1198837208,100.00,-1,-1,1198837208,100.00,-1,-1,1198839323,100.00,-1,-1,1198839323,100.00,-1,-1,1198840881,100.00,-1,-1,1198840881,100.00,-1,-1,607916,37.10,37.10,32,389928,5.97,5.97,1.90,0.80,100.00,0.00,0.00,1198869987,0.00,0.00,1198871729,0.00,0.00,1199394247,0.00,-1,-1,1199394247,0.00,-1,-1,1199394160,0.00,-1,-1,1199394160,0.00,-1,-1,1199394086,0.00,-1,-1,1199394086,0.00,-1,-1,1198864949,100.00,-1,-1,1198864949,100.00,-1,-1,1198866095,100.00,-1,-1,1198866095,100.00,-1,-1,1198867720,100.00,-1,-1,1198867720,100.00,-1,-1,436758,26.66,26.66,45,349826,5.35,5.35,
