Socket0_Watts,Socket1_Watts
36.13,26.91
36.33,26.72
36.56,26.36
36.65,26.26
36.69,26.22
36.62,26.33
36.6,26.2
36.21,26.45
36.58,26.32
36.6,26.38
36.69,26.28
36.59,26.32
36.53,26.35
36.58,26.41
36.66,26.54
36.67,26.45
36.57,26.48
36.42,26.47
34.87,25.94
36.08,26.28
35.82,26.38
36.24,26.41
36.24,26.4
36.15,26.2
36.29,26.3
36.27,26.53
36.15,26.39
36.43,26.5
36.22,26.29
36.22,26.32
36.37,26.31
36.43,26.29
36.31,26.12
36.48,26.2
36.57,26.28
36.33,26.28
36.25,26.31
36.33,26.38
36.53,26.34
36.19,26.52
35.98,27.05
36.12,26.79
36.74,26.31
36.36,26.33
36.2,26.27
36.2,26.27
36.3,26.37
36.15,26.56
36.23,26.48
36.17,26.34
36.26,26.42
36.37,26.32
36.27,26.31
36.16,26.31
36.43,26.33
36.26,26.39
36.23,26.4
