run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	731.28	16486.45	43.74	92.42	1.39	283.93	NA	114.50
2	738.64	16599.46	43.31	90.78	1.36	226.00	NA	112.34
3	735.37	16535.39	43.50	92.42	1.39	258.67	NA	112.47
4	742.24	16719.50	43.10	90.78	1.44	267.43	NA	115.29
5	738.18	16608.86	43.34	90.78	1.41	243.82	NA	113.50
6	738.58	16600.35	43.31	90.78	1.33	224.81	NA	112.44
7	753.83	16951.86	42.44	89.16	1.45	251.49	NA	115.44
8	751.20	16882.03	42.59	89.16	1.38	304.01	NA	114.34
9	749.56	16861.63	42.68	89.16	1.38	261.76	NA	115.03
10	754.98	16975.00	42.37	89.16	1.36	254.24	NA	115.36
