run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	786.65	17720.82	40.67	86.00	1.33	239.04	NA	122.29
2	779.37	17521.20	41.05	86.00	1.40	255.68	NA	118.97
3	777.21	17484.70	41.16	86.00	1.41	235.41	NA	119.36
4	776.20	17494.09	41.21	86.00	1.44	227.51	NA	121.17
5	776.64	17466.98	41.19	87.56	1.32	316.74	NA	119.01
6	791.75	17760.29	40.41	84.47	1.30	238.73	NA	118.55
7	779.01	17503.59	41.06	86.00	1.36	266.67	NA	118.35
8	783.14	17644.70	40.85	86.00	1.33	233.00	NA	121.96
9	782.07	17610.63	40.91	86.00	1.38	245.75	NA	121.19
10	783.53	17620.42	40.83	86.00	1.43	236.23	NA	119.92
